method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup
traditional_robust_template,64,25550,638233,10291,B4,2591.0,baseline_excursion,558.9756,6.467259,0.63345474,0.010042176,0.051597796,0.5671974,3,0.06572867,2040.5,1,0.5391741,-0.5704361,1.6532229
traditional_robust_template,64,25258,637941,10017,B4,2385.0,novel_early_pretrigger,517.7224,5.1708035,0.5868248,0.009253316,0.039079882,0.5515191,3,0.0113853505,1890.0,1,0.5375262,-0.6821803,1.6581565
traditional_robust_template,64,1626,614308,4385,B4,2466.5,novel_early_pretrigger,503.69498,5.231229,0.5392149,0.009247591,0.04058338,0.5450112,3,0.028484484,1839.0,1,0.5734847,-0.59740525,1.6628591
traditional_robust_template,64,3336,616018,5971,B4,2114.0,novel_early_pretrigger,473.81308,5.3126507,0.57524365,0.008173999,0.041791964,0.5612998,3,0.018907564,1730.0,1,0.6859035,-0.68874174,1.657058
traditional_robust_template,64,20942,633625,5980,B4,2404.0,novel_early_pretrigger,462.75644,9.08699,0.4429561,0.013502025,0.07614846,0.57382125,3,0.18825145,1690.5,1,0.9471714,-0.2512479,18.0
traditional_robust_template,64,16089,628772,1504,B6,4330.5,baseline_excursion,609.8569,5.8381658,0.5844507,0.0106989145,0.046281137,0.53549373,3,0.10704729,2226.5,1,0.49128276,-0.25505137,18.0
traditional_robust_template,64,12969,625651,14936,B6,3849.0,baseline_excursion,543.1985,5.4646635,0.5492502,0.01089601,0.042014435,0.52952445,3,0.10056765,1983.5,1,0.5367628,-0.30007794,18.0
traditional_robust_template,64,23272,635955,8175,B6,1761.0,novel_early_pretrigger,448.81662,5.942734,0.93899125,0.013755675,0.031788066,0.6202919,3,0.0,1638.0,1,0.4656445,-1.2986939,1.6162376
traditional_robust_template,64,4033,616715,6624,B6,2316.0,novel_early_pretrigger,427.4721,3.3083916,0.60690486,0.006553985,0.02279618,0.54074,3,0.0,1561.0,1,0.68739206,-0.66882557,1.6842482
traditional_robust_template,64,32979,645663,834,B6,2954.0,novel_early_pretrigger,418.83627,3.3034174,0.5518703,0.0072918544,0.025232293,0.5066944,3,0.025705837,1530.0,1,0.63574815,-0.36255923,18.0
traditional_robust_template,64,22446,635129,7416,B6,2197.5,novel_early_pretrigger,405.2511,3.2020223,0.6088478,0.005372546,0.023614334,0.5423464,3,0.0,1480.0,1,0.77929467,-0.66871446,1.6809386
traditional_robust_template,64,25522,638205,10264,B6,1620.0,novel_early_pretrigger,403.87653,4.5227637,1.0252082,0.010751934,0.021003751,0.61393183,3,0.0,1474.0,1,0.51111114,-1.4333333,1.6219879
traditional_robust_template,64,13199,625881,15151,B6,1506.0,novel_early_pretrigger,387.648,5.4924407,1.1525705,0.0140260905,0.023870595,0.63652474,3,0.0,1414.5,1,0.41965473,-1.7118194,1.6138322
traditional_robust_template,64,24996,637679,9775,B8,2054.5,novel_early_pretrigger,433.38235,3.9858894,0.61588836,0.007853853,0.027670726,0.54836637,3,0.0,1582.5,1,0.7099051,-0.7512777,1.6639011
traditional_robust_template,64,12504,625186,14505,B8,1731.0,novel_early_pretrigger,411.81406,5.1069536,0.7774594,0.010202897,0.031561162,0.5937476,3,0.0,1503.5,1,0.6799538,-1.0548816,1.6356583
traditional_robust_template,64,28149,640833,12715,B8,2299.0,novel_early_pretrigger,411.3864,3.2543745,0.5346331,0.00637568,0.023258109,0.53403723,3,0.0,1502.5,1,0.7150935,-0.5767725,1.6904722
traditional_robust_template,64,20925,633608,5963,B8,1763.5,novel_early_pretrigger,387.76697,3.3394933,0.70230836,0.004476818,0.024114659,0.5676904,3,0.0,1416.0,1,0.85256594,-0.87921745,1.6650444
traditional_robust_template,64,3190,615872,5832,B8,1966.5,novel_early_pretrigger,352.73672,2.4938169,0.61153644,0.0044206386,0.017577285,0.53564876,3,0.0,1288.5,1,0.856598,-0.683702,1.6989378
traditional_robust_template,64,23363,636046,8263,B8,3784.0,unassigned_common,342.71545,4.3961844,0.47399676,0.008325289,0.03667685,0.5059647,4,0.16451836,1253.0,1,0.6709831,-0.05232558,18.0
traditional_robust_template,64,13006,625688,14973,B8,2425.0,novel_early_pretrigger,329.872,2.679502,0.46851328,0.0058585014,0.020017972,0.509931,3,0.007027938,1205.5,1,0.79752576,-0.3983505,1.7325023
traditional_robust_template,64,15031,627714,506,B8,1309.5,novel_early_pretrigger,328.05093,5.0622044,1.0384951,0.009487234,0.027693126,0.63453686,3,0.0,1197.5,1,0.70446736,-1.6361207,1.6206356
traditional_robust_template,65,14517,663144,372,B2,8650.0,baseline_excursion,1505.3984,30.024578,0.40656406,0.07629358,0.20378865,0.626638,4,0.30889237,5492.0,1,0.9878613,0.42057803,3.1172805
traditional_robust_template,65,36092,684719,4083,B2,6945.5,baseline_excursion,1260.9463,45.70781,0.5859837,0.18186931,0.18588859,0.6596243,2,0.16125005,4599.5,1,0.7290332,-1.3245267,0.8082094
traditional_robust_template,65,20796,669423,6232,B2,7098.0,baseline_excursion,1251.5864,44.063805,0.50960857,0.17633069,0.17828643,0.6448178,2,0.18199484,4565.5,1,0.8279797,-1.2538743,0.8491392
traditional_robust_template,65,21848,670475,7209,B2,7320.0,baseline_excursion,1202.2992,39.170753,0.45811757,0.1572923,0.15774108,0.62585735,2,0.23175214,4386.0,1,0.8534153,-1.1241803,1.002045
traditional_robust_template,65,7475,656102,10169,B2,4398.0,baseline_excursion,928.4701,7.4947615,0.7462274,0.010746381,0.060967285,0.58305925,3,0.0,3387.5,1,0.26170987,-0.52728516,18.0
traditional_robust_template,65,36582,685209,4540,B2,3953.0,baseline_excursion,912.5503,8.081617,0.8293018,0.009765885,0.068016686,0.6007733,3,0.0,3329.0,1,0.13230458,-0.6782191,1.6461368
traditional_robust_template,65,19277,667904,4820,B2,4208.5,baseline_excursion,889.986,7.002147,0.7339892,0.01011839,0.056354385,0.58140105,3,0.0,3247.0,1,0.3128193,-0.53784007,1.6577103
traditional_robust_template,65,23194,671821,8450,B2,4264.5,baseline_excursion,883.544,7.1651697,0.7339481,0.010514159,0.057608988,0.58112925,3,0.0,3223.5,1,0.27025443,-0.5319498,1.6600488
traditional_robust_template,65,19422,668049,4956,B4,4696.0,baseline_excursion,792.5794,6.3728685,0.65984356,0.008024082,0.054410852,0.5669431,3,0.020385243,2892.5,1,0.49765757,-0.18334752,18.0
traditional_robust_template,65,33436,682063,1599,B4,2621.5,baseline_excursion,613.1312,7.48069,0.7698713,0.011332249,0.058331277,0.59447485,3,0.009593496,2237.5,1,0.31985503,-0.7787526,1.6414351
traditional_robust_template,65,3572,652199,6536,B4,2382.5,baseline_excursion,562.90936,7.496908,0.67747164,0.010666888,0.05940791,0.59811217,3,0.020550918,2054.5,1,0.3930745,-0.85603356,1.637996
traditional_robust_template,65,5869,654496,8683,B4,2219.0,novel_early_pretrigger,426.8973,3.7407117,0.54488504,0.0067149717,0.028073493,0.5381528,3,0.0,1559.0,1,0.69085175,-0.62460566,1.6796762
traditional_robust_template,65,10317,658944,12829,B4,1750.5,novel_early_pretrigger,415.24243,4.6829586,0.773076,0.009555824,0.028211746,0.58874977,3,0.0,1516.0,1,0.6635247,-1.0497001,1.6365978
traditional_robust_template,65,10476,659103,12980,B4,1468.5,novel_early_pretrigger,392.4237,10.777605,1.1888617,0.009329971,0.08844128,0.71690124,2,0.0,1431.5,1,0.23663603,-2.114062,1.5896612
traditional_robust_template,65,20679,669306,6125,B4,1596.5,novel_early_pretrigger,386.77246,4.36524,0.8750818,0.008234736,0.025221057,0.6032761,3,0.0,1412.0,1,0.69621044,-1.2323834,1.6300611
traditional_robust_template,65,4409,653036,7314,B4,1913.0,novel_early_pretrigger,378.40924,2.5204322,0.66825163,0.004547702,0.016173761,0.5484578,3,0.0,1382.0,1,0.79508626,-0.7794041,1.6828872
traditional_robust_template,65,20679,669306,6125,B6,4117.5,baseline_excursion,564.87134,5.3957443,0.5774673,0.010537304,0.041649908,0.5314355,3,0.10232007,2062.5,1,0.52616876,-0.2704311,18.0
traditional_robust_template,65,22215,670842,7547,B6,1638.5,novel_early_pretrigger,397.47498,4.03594,0.91869277,0.007255634,0.02288024,0.60518485,3,0.0,1451.0,1,0.6844675,-1.1714983,1.6296794
traditional_robust_template,65,16669,665296,2363,B6,1698.5,novel_early_pretrigger,389.88382,3.1936755,0.85090786,0.005438931,0.017788699,0.59071684,3,0.0,1423.5,1,0.77862823,-1.0206064,1.6478885
