method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,run
shuffled_target_gbt,11634,0.46630565583634176,0.0,0.0,0.0,0.0,1.0,0.020505371526092327,0.16060613419733819,0.11690278929478129,0.11990716864363074,0.12181385000831636,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.16060613419733819, 0.16060613419733819]","[0.11690278929478129, 0.11690278929478129]","[0.11990716864363074, 0.11990716864363074]","[0.0, 0.0]",62
traditional_rule,14564,0.45289755561658884,0.2294699258445482,0.6523040095751047,0.33050333535476045,0.4387200643992755,0.7705300741554518,-0.0023407854258826336,0.0799650863444365,0.03742406031974129,0.009980395651399038,0.13478439989014004,"[0.6523040095751047, 0.6523040095751047]","[0.33050333535476045, 0.33050333535476045]","[0.7705300741554518, 0.7705300741554518]","[0.0799650863444365, 0.0799650863444365]","[0.03742406031974129, 0.03742406031974129]","[0.009980395651399038, 0.009980395651399038]","[0.2294699258445482, 0.2294699258445482]",63
ridge,14564,0.45289755561658884,0.5919390277396319,0.6595522561187798,0.8620375985445725,0.7473220739961886,0.408060972260368,-0.005701031833364464,0.04737090790061573,0.043328504175008525,0.03499915867407034,0.14995416103504378,"[0.6595522561187798, 0.6595522561187798]","[0.8620375985445725, 0.8620375985445725]","[0.408060972260368, 0.408060972260368]","[0.04737090790061573, 0.04737090790061573]","[0.043328504175008525, 0.043328504175008525]","[0.03499915867407034, 0.03499915867407034]","[0.5919390277396319, 0.5919390277396319]",63
gradient_boosted_trees,14564,0.45289755561658884,0.51036803076078,0.8312928830889278,0.9367798665858096,0.8808895858578658,0.48963196923922,0.0018091186882730585,0.04046998490602915,0.046833884399599415,0.041088206422661616,0.07601824879194483,"[0.8312928830889278, 0.8312928830889278]","[0.9367798665858096, 0.9367798665858096]","[0.48963196923922, 0.48963196923922]","[0.04046998490602915, 0.04046998490602915]","[0.046833884399599415, 0.046833884399599415]","[0.041088206422661616, 0.041088206422661616]","[0.51036803076078, 0.51036803076078]",63
mlp,14564,0.45289755561658884,0.4653941224938204,0.9392151077013868,0.9651303820497271,0.9519964109466128,0.5346058775061796,0.0039005373031520433,0.04109679076908868,0.05193161214481279,0.054842024145902904,0.010987057016427163,"[0.9392151077013868, 0.9392151077013868]","[0.9651303820497271, 0.9651303820497271]","[0.5346058775061796, 0.5346058775061796]","[0.04109679076908868, 0.04109679076908868]","[0.05193161214481279, 0.05193161214481279]","[0.054842024145902904, 0.054842024145902904]","[0.4653941224938204, 0.4653941224938204]",63
cnn_1d,14564,0.45289755561658884,0.6021697335896732,0.6610034207525656,0.8788659793814433,0.7545229727970845,0.3978302664103268,-0.007335931827718467,0.04569752671548857,0.03932740910944689,0.031239212978943734,0.13422258548153093,"[0.6610034207525656, 0.6610034207525656]","[0.8788659793814433, 0.8788659793814433]","[0.3978302664103268, 0.3978302664103268]","[0.04569752671548857, 0.04569752671548857]","[0.03932740910944689, 0.03932740910944689]","[0.031239212978943734, 0.031239212978943734]","[0.6021697335896732, 0.6021697335896732]",63
wavegate_resnet,14564,0.45289755561658884,0.57834386157649,0.6909652142941944,0.8823529411764706,0.7750183101404886,0.42165613842351,-0.004580519109818539,0.0476030183700686,0.04229839255946644,0.03777886337730011,0.12079795293745094,"[0.6909652142941944, 0.6909652142941944]","[0.8823529411764706, 0.8823529411764706]","[0.42165613842351, 0.42165613842351]","[0.0476030183700686, 0.0476030183700686]","[0.04229839255946644, 0.04229839255946644]","[0.03777886337730011, 0.03777886337730011]","[0.57834386157649, 0.57834386157649]",63
shuffled_target_gbt,14564,0.45289755561658884,0.0,0.0,0.0,0.0,1.0,0.01519471439523665,0.10754463272113046,0.0860174962374481,0.09187036528426257,0.10823846878768126,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.10754463272113046, 0.10754463272113046]","[0.0860174962374481, 0.0860174962374481]","[0.09187036528426257, 0.09187036528426257]","[0.0, 0.0]",63
traditional_rule,11907,0.46107331821617537,0.20105820105820105,0.6984126984126984,0.30455373406193076,0.42415017757483503,0.798941798941799,-0.0057353677855745255,0.0801476691378466,0.037524596283964526,0.009250499316724482,0.14743428235491726,"[0.6984126984126984, 0.6984126984126984]","[0.30455373406193076, 0.30455373406193076]","[0.798941798941799, 0.798941798941799]","[0.0801476691378466, 0.0801476691378466]","[0.037524596283964526, 0.037524596283964526]","[0.009250499316724482, 0.009250499316724482]","[0.20105820105820105, 0.20105820105820105]",64
ridge,11907,0.46107331821617537,0.5984714873603763,0.6726073533539152,0.8730418943533698,0.7598287888395687,0.40152851263962375,-0.009140443265405087,0.044251282877806435,0.03532901135463362,0.024890190336749635,0.1534123245635761,"[0.6726073533539152, 0.6726073533539152]","[0.8730418943533698, 0.8730418943533698]","[0.40152851263962375, 0.40152851263962375]","[0.044251282877806435, 0.044251282877806435]","[0.03532901135463362, 0.03532901135463362]","[0.024890190336749635, 0.024890190336749635]","[0.5984714873603763, 0.5984714873603763]",64
gradient_boosted_trees,11907,0.46107331821617537,0.5065927605610145,0.8512931034482759,0.9353369763205829,0.8913383093212984,0.49340723943898546,-0.00011324194602372192,0.03965596594606555,0.04210140972172014,0.03302127659574468,0.0734351608274768,"[0.8512931034482759, 0.8512931034482759]","[0.9353369763205829, 0.9353369763205829]","[0.49340723943898546, 0.49340723943898546]","[0.03965596594606555, 0.03965596594606555]","[0.04210140972172014, 0.04210140972172014]","[0.03302127659574468, 0.03302127659574468]","[0.5065927605610145, 0.5065927605610145]",64
mlp,11907,0.46107331821617537,0.45905769715293526,0.9443834613977314,0.9402550091074682,0.9423147133990509,0.5409423028470648,0.0021471132275470003,0.0416222585096735,0.046175843259673895,0.042074212078869744,0.01093551827391173,"[0.9443834613977314, 0.9443834613977314]","[0.9402550091074682, 0.9402550091074682]","[0.5409423028470648, 0.5409423028470648]","[0.0416222585096735, 0.0416222585096735]","[0.046175843259673895, 0.046175843259673895]","[0.042074212078869744, 0.042074212078869744]","[0.45905769715293526, 0.45905769715293526]",64
cnn_1d,11907,0.46107331821617537,0.5968757873519779,0.6845363725904038,0.8861566484517304,0.77240612844328,0.4031242126480222,-0.009026167364239404,0.042358603732853044,0.032074256298039096,0.020833333333333332,0.1312346993726142,"[0.6845363725904038, 0.6845363725904038]","[0.8861566484517304, 0.8861566484517304]","[0.4031242126480222, 0.4031242126480222]","[0.042358603732853044, 0.042358603732853044]","[0.032074256298039096, 0.032074256298039096]","[0.020833333333333332, 0.020833333333333332]","[0.5968757873519779, 0.5968757873519779]",64
