row_id,event_key,pair_id,run,eventno,evt,variant,label_injected,target_stave,base_d_t_ns,d_t_ns,taxon_consensus,score_traditional_atom_rubric,action_traditional_atom_rubric,score_ridge,action_ridge,score_gradient_boosted_trees,action_gradient_boosted_trees,score_mlp,action_mlp,score_cnn1d,action_cnn1d,score_atom_gated_cnn,action_atom_gated_cnn,score_mlp_rank,score_gbt_rank,score_rubric_rank,in_failure_gallery,in_dttail_gallery,reviewer_a_ml_mask,reviewer_b_rubric,reviewer_c_hybrid,reviewer_votes,reviewer_consensus,unanimous_review
63:585623:10360:196609:injected_two_pulse,63:585623:10360:196609,1953,63,585623,10360,injected_two_pulse,1,B6,2.2685317538611045,2.2685317538611045,early_pretrigger,0.1523126409857051,0,-0.3269846439361572,0,0.5241435382390411,0,0.4831094443798065,0,0.5421584248542786,0,0.486049622297287,0,0.5644329896907216,0.6005154639175257,0.14690721649484537,False,False,0,0,0,0,0,1
63:585794:10516:196780:raw_clean,63:585794:10516:196780,1954,63,585794,10516,raw_clean,0,,1.2300125470514445,1.2300125470514445,template_mismatch,0.6768646212546607,0,-1.6149072647094729,0,0.0748023596618051,0,0.858413577079773,1,0.6884926557540894,1,0.6752786636352539,0,0.6907216494845361,0.03865979381443299,0.18556701030927836,False,False,1,1,0,2,1,0
63:585794:10516:196780:injected_two_pulse,63:585794:10516:196780,1954,63,585794,10516,injected_two_pulse,1,B8,1.2300125470514445,1.389077647818496,delayed_peak_or_tail,2.9643115487118075,0,0.0682544633746147,0,0.8266877223896039,1,0.999561369419098,1,0.8820608854293823,1,0.8847219347953796,1,0.9097938144329897,0.7809278350515464,0.865979381443299,False,False,1,1,1,3,1,1
63:585877:10596:196863:raw_clean,63:585877:10596:196863,1955,63,585877,10596,raw_clean,0,,0.4647249374678672,0.4647249374678672,template_mismatch,2.2444962350475866,0,-3.121344327926636,0,0.0628341459609355,0,0.0012783337151631,0,0.0641891583800315,0,0.070545308291912,0,0.02577319587628866,0.015463917525773196,0.8092783505154639,False,False,0,1,0,1,0,0
63:585877:10596:196863:injected_two_pulse,63:585877:10596:196863,1955,63,585877,10596,injected_two_pulse,1,B6,0.4647249374678672,2.156990781805778,template_mismatch,2.2484593701755085,0,-0.4665976166725158,0,0.8495034656526259,1,0.5664450526237488,0,0.2132928222417831,0,0.2066257297992706,0,0.5979381443298969,0.8067010309278351,0.8118556701030928,False,False,1,1,1,3,1,1
63:586088:10788:197074:raw_clean,63:586088:10788:197074,1956,63,586088,10788,raw_clean,0,,2.608060537909566,2.608060537909566,delayed_peak_or_tail,5.627667030724838,1,1.253710389137268,1,0.2663111040951188,0,0.1789646595716476,0,0.2901889681816101,0,0.304045021533966,0,0.4536082474226804,0.35309278350515466,0.9458762886597938,False,False,0,1,0,1,0,0
63:586088:10788:197074:injected_two_pulse,63:586088:10788:197074,1956,63,586088,10788,injected_two_pulse,1,B4,2.608060537909566,2.230346365246376,delayed_peak_or_tail,7.878887487411519,1,3.164156436920166,1,0.7452616684695298,1,0.8790464997291565,1,0.4874379336833954,0,0.492497056722641,0,0.7010309278350515,0.7448453608247423,0.9690721649484536,False,False,1,1,1,3,1,1
63:586487:11159:197473:raw_clean,63:586487:11159:197473,1957,63,586487,11159,raw_clean,0,,1.963225010283836,1.963225010283836,delayed_peak_or_tail,2.0624823607978198,0,-0.8417811393737793,0,0.2574531255451357,0,0.044690266251564,0,0.448604017496109,0,0.4061842560768127,0,0.2963917525773196,0.3427835051546392,0.7525773195876289,False,False,0,1,0,1,0,0
63:586487:11159:197473:injected_two_pulse,63:586487:11159:197473,1957,63,586487,11159,injected_two_pulse,1,B6,1.963225010283836,2.3535477852909,delayed_peak_or_tail,4.346650498551181,0,1.547083020210266,1,0.8650204077412675,1,0.9817612767219543,1,0.7667573690414429,1,0.7793530821800232,1,0.8195876288659794,0.8195876288659794,0.9226804123711341,False,False,1,1,1,3,1,1
63:586563:11229:197549:raw_clean,63:586563:11229:197549,1958,63,586563,11229,raw_clean,0,,2.083404387256799,2.083404387256799,early_pretrigger,1.3187102931030426,0,-2.3806943893432617,0,0.1694250036753073,0,0.0070391055196523,0,0.1361716389656067,0,0.1226486191153526,0,0.09536082474226804,0.23195876288659795,0.3427835051546392,False,False,0,0,0,0,0,1
