dataset,stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
p04b_downstream,matched_normal_for_baseline_excursion,gradient_boosted_trees,18,-0.06780844899967296,0.24229798272719844,0.22503634734068118,0.3333333333333333,0.2777777777777778,0.6666666666666666,"[-0.22078717865017783, 0.015574916252528657]","[0.20845072278592638, 0.2894578733568981]","[0.15749047244044798, 0.25548226375531363]","[0.09958333333333336, 0.47619047619047616]"
p04b_downstream,matched_normal_for_baseline_excursion,mlp,18,0.06438553164327927,0.47061234655274836,13.332311704823757,0.6666666666666666,0.1111111111111111,0.3333333333333333,"[-0.051537186853525915, 0.28978026379442723]","[0.3845440381574884, 0.7389514020518649]","[0.41053851097004723, 23.062365441717958]","[0.5714285714285714, 0.8575892857142853]"
p04b_downstream,matched_normal_for_baseline_excursion,cnn1d,18,-0.024775917233284834,0.22677700529825687,0.19567534531619774,0.2777777777777778,0.3888888888888889,0.7222222222222222,"[-0.22631224540784423, 0.03903315084975636]","[0.17933797965617462, 0.26484947082776145]","[0.14698629686579087, 0.21526400786413669]","[0.07130952380952381, 0.42105263157894735]"
p04b_downstream,matched_normal_for_baseline_excursion,residual_cnn_meta,18,-0.024287342853599448,0.24153151299367906,0.20866676296698808,0.2777777777777778,0.2777777777777778,0.7222222222222222,"[-0.22966924346071022, 0.011373372460222556]","[0.16534816424797227, 0.27290377133711585]","[0.16402839232275906, 0.24258758907758457]","[0.07130952380952381, 0.5]"
p04b_downstream,matched_normal_for_baseline_excursion,shuffled_target_gbt,18,-0.16021987567048462,0.25026920226170274,0.5011163683970848,0.3333333333333333,0.2222222222222222,0.6666666666666666,"[-0.2404743928944214, 0.20619288976708083]","[0.20829979852512023, 0.3043828557643327]","[0.2007484337357729, 0.9934338952056354]","[0.2608695652173913, 0.5555555555555556]"
p04b_downstream,matched_normal_for_novel_early_pretrigger,traditional_strong,74,0.051981527972719946,0.27438233558772657,0.298843145684955,0.36486486486486486,0.36486486486486486,0.6351351351351351,"[-0.03167711672974329, 0.07955503575556312]","[0.1484765008676887, 0.3492697957174395]","[0.16883208552787268, 0.3631514552914767]","[0.09506302521008404, 0.5438725975827222]"
p04b_downstream,matched_normal_for_novel_early_pretrigger,ridge,74,-0.00472869123470013,0.2580551103230448,0.24575591984370487,0.36486486486486486,0.36486486486486486,0.6351351351351351,"[-0.05628690482621826, 0.015925919287073334]","[0.14026767999585502, 0.2950333910156059]","[0.163205509693827, 0.3056207719963147]","[0.16123533724340175, 0.5384615384615384]"
p04b_downstream,matched_normal_for_novel_early_pretrigger,gradient_boosted_trees,74,-0.0015759944201142336,0.20239556485969565,0.23123026977219965,0.24324324324324326,0.4189189189189189,0.7567567567567568,"[-0.04235302163143333, 0.04676832886273564]","[0.1638851743470404, 0.2644513638891385]","[0.16771091803031657, 0.28568573724703444]","[0.09433962264150944, 0.33675788497217063]"
p04b_downstream,matched_normal_for_novel_early_pretrigger,mlp,74,0.020799999840295694,0.3329471286904164,0.4699301140793771,0.44594594594594594,0.25675675675675674,0.5540540540540541,"[-0.019468806738947343, 0.05409261586287961]","[0.2682095775949404, 0.3907166635965999]","[0.2774454454948604, 0.6191200670345818]","[0.3333333333333333, 0.5434454191033136]"
p04b_downstream,matched_normal_for_novel_early_pretrigger,cnn1d,74,-0.009264799947226607,0.22049929126400092,0.23343230167957102,0.2972972972972973,0.44594594594594594,0.7027027027027027,"[-0.057394328675656026, 0.013189324950599816]","[0.15002537020539886, 0.2870469617293339]","[0.15764877922957057, 0.2856150984109196]","[0.15466644204851754, 0.42603359173126604]"
p04b_downstream,matched_normal_for_novel_early_pretrigger,residual_cnn_meta,74,0.013483873762839502,0.21370598584187897,0.2407760155334973,0.2702702702702703,0.40540540540540543,0.7297297297297297,"[-0.047456261760529, 0.06191916005957081]","[0.13989297241485382, 0.2928086540966549]","[0.1460164562851153, 0.31698603995783914]","[0.05263157894736842, 0.4270858616504854]"
