n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
10,1280.0,0.0,0,1.739353038966352,2997,58
10,1280.0,0.0,1,2.0472189557244205,3534,58
10,1280.0,0.0,2,2.370746053251188,4710,58
10,1280.0,0.0,-1,2.0524393493139867,0,58
10,1280.0,1.0,0,1.7687759010973447,2997,58
10,1280.0,1.0,1,2.0746132597405356,3534,58
10,1280.0,1.0,2,2.4005614979816117,4710,58
10,1280.0,1.0,-1,2.081316886273164,0,58
10,1280.0,4.0,0,1.8189918452546658,2997,58
10,1280.0,4.0,1,2.1157324778947943,3534,58
10,1280.0,4.0,2,2.4452846650772484,4710,58
10,1280.0,4.0,-1,2.1266696627422363,0,58
10,1280.0,16.0,0,1.868882691470826,2997,58
10,1280.0,16.0,1,2.1568919377295237,3534,58
10,1280.0,16.0,2,2.4847422739352627,4710,58
10,1280.0,16.0,-1,2.1701723010452043,0,58
12,20.0,0.0,0,2.002479586476904,2997,58
12,20.0,0.0,1,1.2897683913252536,3534,58
12,20.0,0.0,2,1.420301685473191,4710,58
12,20.0,0.0,-1,1.5708498877584496,0,58
12,20.0,1.0,0,1.9624124660916098,2997,58
12,20.0,1.0,1,1.2696913598309827,3534,58
12,20.0,1.0,2,1.3921321047052886,4710,58
12,20.0,1.0,-1,1.5414119768759604,0,58
12,20.0,4.0,0,1.9216822014809447,2997,58
12,20.0,4.0,1,1.2449073819117764,3534,58
12,20.0,4.0,2,1.3468082174140883,4710,58
12,20.0,4.0,-1,1.5044659336022697,0,58
12,20.0,16.0,0,1.863873087384943,2997,58
12,20.0,16.0,1,1.203008507654846,3534,58
12,20.0,16.0,2,1.3251932275432852,4710,58
12,20.0,16.0,-1,1.4640249408610249,0,58
12,80.0,0.0,0,1.5833862184196987,2997,58
12,80.0,0.0,1,1.051341058553064,3534,58
12,80.0,0.0,2,1.2216099613321691,4710,58
12,80.0,0.0,-1,1.285445746101644,0,58
12,80.0,1.0,0,1.5067434865381453,2997,58
12,80.0,1.0,1,1.0076923088108747,3534,58
12,80.0,1.0,2,1.2082526190337188,4710,58
