heldout_run,heldout_group,method,n_scored_events,n_synthetic_train,training_policy,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,support_accept_fraction
55,high_20nA,residual_tcn,950,3000,low_current_only_source_run_heldout,46 47,0.7273560000000001,0.7601419936925401,0.22000947535413212,0.14404061487785225,0.5147368421052632
55,high_20nA,shuffled_current_sentinel,950,3000,label_permuted_control,46 47,0.55149,,,,0.5147368421052632
56,high_20nA,ridge,1052,3000,low_current_only_source_run_heldout,46 47,0.765816,0.77435066937239,0.20213805697545825,0.12460962762045365,0.4600760456273764
56,high_20nA,gradient_boosted_trees,1052,3000,low_current_only_source_run_heldout,46 47,0.9058160000000001,0.9193149546187457,0.1251216350172456,0.07722687549381119,0.4600760456273764
56,high_20nA,mlp,1052,3000,low_current_only_source_run_heldout,46 47,0.897048,0.8834945921885198,0.13444698996891435,0.1066073590528739,0.4600760456273764
56,high_20nA,cnn1d,1052,3000,low_current_only_source_run_heldout,46 47,0.674404,0.725486265941967,0.23441359688337307,0.15613464246578596,0.4600760456273764
56,high_20nA,residual_tcn,1052,3000,low_current_only_source_run_heldout,46 47,0.7093,0.7542198083515609,0.22121242046902742,0.14463926815443603,0.4600760456273764
56,high_20nA,shuffled_current_sentinel,1052,3000,label_permuted_control,46 47,0.556944,,,,0.4600760456273764
57,high_20nA,ridge,1100,3000,low_current_only_source_run_heldout,46 47,0.8076700000000001,0.7939130806500398,0.18184962171495891,0.1316935118343026,0.4909090909090909
57,high_20nA,gradient_boosted_trees,1100,3000,low_current_only_source_run_heldout,46 47,0.9111819999999999,0.9206252221799172,0.12371990107283305,0.08159349065700693,0.4909090909090909
57,high_20nA,mlp,1100,3000,low_current_only_source_run_heldout,46 47,0.864984,0.8791906056841158,0.14691495773944124,0.0943972426407193,0.4909090909090909
57,high_20nA,cnn1d,1100,3000,low_current_only_source_run_heldout,46 47,0.686896,0.7446702119155907,0.22825559170130388,0.1518771654553215,0.4909090909090909
57,high_20nA,residual_tcn,1100,3000,low_current_only_source_run_heldout,46 47,0.7270560000000001,0.7779401423697251,0.2129595045014217,0.13987456895253822,0.4909090909090909
57,high_20nA,shuffled_current_sentinel,1100,3000,label_permuted_control,46 47,0.536098,,,,0.4909090909090909
