method,delay_samples,scale_bin,n,n_injected,roc_auc,average_precision,fixed_95_clean_rejection,real_minus_shuffled_auc,frontier_pass,fit_delay_bias_samples,fit_delay_rms_samples,fit_failure_rate
gradient-boosted trees,5,high,82,41,0.9422962522308149,0.9265926482823932,0.6341463414634146,0.47233789411064836,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
gradient-boosted trees,5,low,78,39,0.7570677186061802,0.7464879597410553,0.2564102564102564,0.205456936226167,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
gradient-boosted trees,5,mid,72,36,0.8881172839506173,0.8820649599202072,0.3888888888888889,0.41358024691358025,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
gradient-boosted trees,6,high,88,44,0.8752582644628101,0.890771459006703,0.5454545454545454,0.4950929752066117,False,-0.95,1.70293863659264,0.09090909090909094
gradient-boosted trees,6,low,74,37,0.7224251278305333,0.7426918678159424,0.3783783783783784,0.25273922571219865,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
gradient-boosted trees,6,mid,62,31,0.8428720083246617,0.8081019806992866,0.1935483870967742,0.3511966701352756,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
ridge,2,high,60,30,0.9122222222222223,0.937134232126361,0.8,0.4377777777777778,True,1.6363636363636365,2.467976720090587,0.2666666666666667
ridge,2,low,82,41,0.7691850089232599,0.7569075909154921,0.24390243902439024,0.2736466389054134,False,2.230769230769231,2.8419928002940256,0.36585365853658536
ridge,2,mid,76,38,0.8351800554016621,0.8597427866792805,0.47368421052631576,0.3718836565096953,False,1.3125,2.091650066335189,0.1578947368421053
ridge,3,high,92,46,0.9097353497164462,0.8402994359316291,0.5869565217391305,0.44754253308128555,False,0.3157894736842105,1.3377121081198773,0.17391304347826086
ridge,3,low,94,47,0.7827071072883658,0.7715455815204533,0.3617021276595745,0.2842915346310547,False,1.3142857142857143,2.138089935299395,0.25531914893617025
ridge,3,mid,90,45,0.8558024691358025,0.8716554919093544,0.5777777777777777,0.33925925925925926,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
ridge,4,high,74,37,0.9152666179693206,0.9031687451343058,0.6486486486486487,0.49853907962016064,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
ridge,4,low,68,34,0.8019031141868512,0.8021447682883601,0.35294117647058826,0.27076124567474047,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
ridge,4,mid,66,33,0.8466483011937558,0.8307430323555021,0.21212121212121213,0.37557392102846654,False,0.17391304347826086,1.285369173834303,0.303030303030303
ridge,5,high,82,41,0.9131469363474123,0.8890150376005972,0.6341463414634146,0.4431885782272457,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
ridge,5,low,78,39,0.7889546351084813,0.8139326151168912,0.41025641025641024,0.23734385272846814,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
ridge,5,mid,72,36,0.7878086419753086,0.8123391241806819,0.4444444444444444,0.3132716049382716,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
ridge,6,high,88,44,0.881198347107438,0.8285970771934124,0.45454545454545453,0.5010330578512396,False,-0.95,1.70293863659264,0.09090909090909094
ridge,6,low,74,37,0.7742878013148283,0.7404982105326054,0.35135135135135137,0.3046018991964937,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
ridge,6,mid,62,31,0.8324661810613945,0.8795401405386011,0.6129032258064516,0.3407908428720084,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
shape-only RF,2,high,60,30,0.9055555555555556,0.8989045297595711,0.5333333333333333,0.4311111111111111,False,1.6363636363636365,2.467976720090587,0.2666666666666667
