cell,negative_rows,positive_rows,matched_pairs
31|0|1|0|0|0|2|1|5|3|3,5,0,0
31|0|1|0|0|0|2|1|5|3|4,5,0,0
31|0|1|0|0|0|2|1|5|3|5,1,0,0
31|0|1|0|0|0|2|1|5|4|1,4,0,0
31|0|1|0|0|0|2|2|0|0|0,2,0,0
31|0|1|0|0|0|2|2|0|1|1,1,0,0
31|0|1|0|0|0|2|2|0|1|5,1,0,0
31|0|1|0|0|0|2|2|0|2|0,3,0,0
31|0|1|0|0|0|2|2|0|2|1,1,0,0
31|0|1|0|0|0|2|2|0|2|3,2,0,0
31|0|1|0|0|0|2|2|0|2|5,19,0,0
31|0|1|0|0|0|2|2|0|3|0,3,0,0
31|0|1|0|0|0|2|2|0|3|1,28,0,0
31|0|1|0|0|0|2|2|0|3|2,38,0,0
31|0|1|0|0|0|2|2|0|3|3,17,0,0
31|0|1|0|0|0|2|2|0|3|4,28,0,0
31|0|1|0|0|0|2|2|0|3|5,25,0,0
31|0|1|0|0|0|2|2|0|4|1,68,0,0
31|0|1|0|0|0|2|2|0|4|2,28,0,0
31|0|1|0|0|0|2|2|0|4|3,1,0,0
31|0|1|0|0|0|2|2|1|1|1,2,0,0
31|0|1|0|0|0|2|2|1|2|5,25,0,0
31|0|1|0|0|0|2|2|1|3|1,17,0,0
31|0|1|0|0|0|2|2|1|3|2,30,0,0
31|0|1|0|0|0|2|2|1|3|3,15,0,0
31|0|1|0|0|0|2|2|1|3|4,20,0,0
31|0|1|0|0|0|2|2|1|3|5,12,0,0
31|0|1|0|0|0|2|2|1|4|1,58,0,0
31|0|1|0|0|0|2|2|1|4|2,32,0,0
31|0|1|0|0|0|2|2|1|4|3,1,0,0
31|0|1|0|0|0|2|2|2|0|1,1,0,0
31|0|1|0|0|0|2|2|2|1|1,1,0,0
31|0|1|0|0|0|2|2|2|1|5,1,0,0
31|0|1|0|0|0|2|2|2|2|0,1,0,0
31|0|1|0|0|0|2|2|2|2|1,2,0,0
31|0|1|0|0|0|2|2|2|2|5,15,0,0
31|0|1|0|0|0|2|2|2|3|0,1,0,0
31|0|1|0|0|0|2|2|2|3|1,21,0,0
31|0|1|0|0|0|2|2|2|3|2,23,0,0
31|0|1|0|0|0|2|2|2|3|3,9,0,0
31|0|1|0|0|0|2|2|2|3|4,16,0,0
31|0|1|0|0|0|2|2|2|3|5,17,0,0
31|0|1|0|0|0|2|2|2|4|1,57,0,0
31|0|1|0|0|0|2|2|2|4|2,32,0,0
31|0|1|0|0|0|2|2|3|0|0,1,0,0
