window_mask,method,heldout_run,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
late_tail_samples_12_17,small_transformer,65,0.6428723533287114,0.6550094517958411,0.43620037807183365,0.0,0.0,0.5,-1.4851901227766273,15.607986432209046,0.36,0.45652173913043476,0.391304347826087,0.0028996435420398817,0.2087997894575253,92,46
late_tail_samples_12_17,traditional_template_likelihood,58,0.5,0.5,0.7738791423001949,0.6052631578947368,0.696969696969697,0.7100389863547758,,,,1.0,0.0,,,92,46
late_tail_samples_12_17,traditional_template_likelihood,60,0.5,0.5,0.7049645390070921,0.5555555555555556,0.6097560975609756,0.607565011820331,,,,1.0,0.0,,,92,46
late_tail_samples_12_17,traditional_template_likelihood,62,0.5,0.5,0.7747619047619048,0.7619047619047619,0.7441860465116279,0.770952380952381,,,,1.0,0.0,,,92,46
late_tail_samples_12_17,traditional_template_likelihood,64,0.5,0.4782608695652174,0.8058851447555766,0.5510204081632653,0.7714285714285715,0.6824869482676792,,,,1.0,0.0,,,92,46
late_tail_samples_12_17,traditional_template_likelihood,65,0.5,0.5,0.7901701323251418,0.717391304347826,0.7857142857142857,0.7608695652173914,,,,1.0,0.0,,,92,46
peak_charge_samples_8_11,1d_cnn,58,0.5800249416424705,0.529773156899811,0.5516569200779727,0.0,0.0,0.5,2.941964608445251,17.081787996184392,0.46875,0.30434782608695654,0.7391304347826086,-0.03801382552927847,0.12281869049926288,92,46
peak_charge_samples_8_11,1d_cnn,60,0.4627067945409915,0.49007561436672964,0.5101654846335698,0.0,0.0,0.5,0.2132353415395638,17.689322768882,0.46875,0.30434782608695654,0.5869565217391305,-0.03507199805377592,0.11100276736263173,92,46
peak_charge_samples_8_11,1d_cnn,62,0.47172958271348986,0.45746691871455575,0.48857142857142855,0.0,0.0,0.5,10.625646225168941,16.93407324438294,0.4375,0.30434782608695654,0.717391304347826,-0.025523037956754764,0.08731071724253517,92,46
peak_charge_samples_8_11,1d_cnn,64,0.47860956071088273,0.44139886578449905,0.47745609871855715,0.0,0.0,0.5,7.989155730232587,16.496763130141208,0.46875,0.30434782608695654,0.6956521739130435,-0.02166876711586293,0.1150677746738582,92,46
