method,subtype,metric,ci_low,ci_high,n_boot_valid
temporal_gate_cnn_new,tail_recovery_dropout,timing_tail_gt5_rate_high_minus_low,-0.04875498449268938,-0.01182266009852213,73
traditional_train_frozen_cuts,early_sample_offset,charge_bias_abs_mean_high_minus_low,-0.01311703324317932,0.02442988753318787,73
traditional_train_frozen_cuts,early_sample_offset,charge_bias_abs_res68_high_minus_low,-0.02330946350097658,0.02407171630859375,73
traditional_train_frozen_cuts,early_sample_offset,downstream_topology_rate_high_minus_low,0.03661595727463991,0.055770148324862566,73
traditional_train_frozen_cuts,early_sample_offset,dropout_harm_rate_high_minus_low,-0.15307543907999904,-0.11614863154341652,73
traditional_train_frozen_cuts,early_sample_offset,prevalence_within_method_current_rows_high_minus_low,0.8689583333333334,1.0,100
traditional_train_frozen_cuts,early_sample_offset,secondary_fraction_mean_high_minus_low,-0.0009731043130159378,0.00507628507912159,73
traditional_train_frozen_cuts,early_sample_offset,timing_tail_gt5_rate_high_minus_low,0.08178851987835711,0.1228496288158727,73
traditional_train_frozen_cuts,nominal_baseline_excursion,charge_bias_abs_mean_high_minus_low,,,0
traditional_train_frozen_cuts,nominal_baseline_excursion,charge_bias_abs_res68_high_minus_low,,,0
traditional_train_frozen_cuts,nominal_baseline_excursion,downstream_topology_rate_high_minus_low,,,0
traditional_train_frozen_cuts,nominal_baseline_excursion,dropout_harm_rate_high_minus_low,,,0
traditional_train_frozen_cuts,nominal_baseline_excursion,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,99
traditional_train_frozen_cuts,nominal_baseline_excursion,secondary_fraction_mean_high_minus_low,,,0
traditional_train_frozen_cuts,nominal_baseline_excursion,timing_tail_gt5_rate_high_minus_low,,,0
traditional_train_frozen_cuts,peak_phase_late,charge_bias_abs_mean_high_minus_low,,,0
traditional_train_frozen_cuts,peak_phase_late,charge_bias_abs_res68_high_minus_low,,,0
traditional_train_frozen_cuts,peak_phase_late,downstream_topology_rate_high_minus_low,,,0
traditional_train_frozen_cuts,peak_phase_late,dropout_harm_rate_high_minus_low,,,0
traditional_train_frozen_cuts,peak_phase_late,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,100
traditional_train_frozen_cuts,peak_phase_late,secondary_fraction_mean_high_minus_low,,,0
traditional_train_frozen_cuts,peak_phase_late,timing_tail_gt5_rate_high_minus_low,,,0
traditional_train_frozen_cuts,pretrigger_slope,charge_bias_abs_mean_high_minus_low,0.04297608137130737,0.10847500562667849,73
traditional_train_frozen_cuts,pretrigger_slope,charge_bias_abs_res68_high_minus_low,0.0566681785583496,0.10584844970703126,73
traditional_train_frozen_cuts,pretrigger_slope,downstream_topology_rate_high_minus_low,0.03524175355161271,0.08087341072415702,73
