run,window,method,n,res68_abs_frac,bias_median_frac,frac_within10
59,s3,mlp_masked,2271,0.13765723372898064,0.0016015235653936272,0.4900924702774108
59,s4,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,s4,traditional_template,2271,3.905858639285404,0.15477413696015202,0.10479964773227653
59,s4,gbr_masked,2271,0.14124195578491647,0.01937043494178019,0.4804051078819903
59,s4,mlp_masked,2271,0.147430543981773,0.031675431492629996,0.47335975341259356
59,s5,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,s5,traditional_template,2271,0.3677963399333689,-0.10580115959282475,0.1338617349185381
59,s5,gbr_masked,2271,0.1379010428045018,0.02887963783144979,0.49801849405548215
59,s5,mlp_masked,2271,0.14057893601249558,0.04018916889684915,0.48877146631439894
59,s6,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,s6,traditional_template,2271,0.2618972915003626,-0.1982361194628182,0.2170849845882871
59,s6,gbr_masked,2271,0.1314717095432524,0.01755485602103056,0.5226772346983708
59,s6,mlp_masked,2271,0.13611581182664526,0.03496719840107205,0.5116688683399383
59,s7,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,s7,traditional_template,2271,0.2653404860003861,-0.2030284917314206,0.1814178775869661
59,s7,gbr_masked,2271,0.13577266428984716,0.0135823660541534,0.5041831792162044
59,s7,mlp_masked,2271,0.1375532677376549,0.014680161834040016,0.5077058564509027
59,w2_4,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,w2_4,traditional_template,2271,6.524139548489362,1.4874251315373537,0.09202994275649494
59,w2_4,gbr_masked,2271,0.13848890092560204,0.01916355941916022,0.4997798326728313
59,w2_4,mlp_masked,2271,0.134250910606481,0.0015786952816815325,0.5147512109202994
59,w3_5,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,w3_5,traditional_template,2271,1.3216417885152134,0.566922917248404,0.11008366358432409
59,w3_5,gbr_masked,2271,0.1079154182703528,0.02082822244917396,0.6393659180977543
59,w3_5,mlp_masked,2271,0.13820072688491958,-0.01096720436962402,0.5530603258476442
59,w4_6,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
