min_score,max_log_chi2_ndf,min_pred_sep_sample,max_pred_amp_ratio,n_positive,n_accepted,coverage,abstention_rate,accepted_time_rms_ns,charge_fractional_bias,charge_fractional_res68,bad_recovery_rate,risk_coverage_auc
-1.0,13.68465965353393,0.0,2.5,1300,1038,0.7984615384615384,0.20153846153846153,13.922272632862935,-0.010402008746520702,0.08541309245715237,0.2514450867052023,0.20411297244849141
-1.0,13.68465965353393,0.5,1.2,1300,791,0.6084615384615385,0.39153846153846156,14.07443849274569,-0.010762437699739887,0.08472050489271075,0.22882427307206069,0.20411297244849141
-1.0,13.68465965353393,0.5,1.5,1300,902,0.6938461538461539,0.30615384615384617,13.809591539027055,-0.011613825765396803,0.08590977573511116,0.22505543237250555,0.20411297244849141
-1.0,13.68465965353393,0.5,1.8,1300,1037,0.7976923076923077,0.2023076923076923,13.92845328185806,-0.01029634941130415,0.08545023447492064,0.25168756027000966,0.20411297244849141
-1.0,13.68465965353393,0.5,2.5,1300,1037,0.7976923076923077,0.2023076923076923,13.92845328185806,-0.01029634941130415,0.08545023447492064,0.25168756027000966,0.20411297244849141
-1.0,13.68465965353393,0.75,1.2,1300,714,0.5492307692307692,0.45076923076923076,14.251096405835755,-0.009287937613995365,0.08647965054023929,0.23949579831932774,0.20411297244849141
-1.0,13.68465965353393,0.75,1.5,1300,813,0.6253846153846154,0.37461538461538463,13.894214742518928,-0.010507668081737254,0.08724245607788889,0.23493234932349324,0.20411297244849141
-1.0,13.68465965353393,0.75,1.8,1300,939,0.7223076923076923,0.2776923076923077,14.070406347013172,-0.008150769774155723,0.08711668234957642,0.26517571884984026,0.20411297244849141
-1.0,13.68465965353393,0.75,2.5,1300,939,0.7223076923076923,0.2776923076923077,14.070406347013172,-0.008150769774155723,0.08711668234957642,0.26517571884984026,0.20411297244849141
-1.0,13.68465965353393,1.0,1.2,1300,673,0.5176923076923077,0.4823076923076923,14.406767243397395,-0.010545505661888627,0.08865343556970559,0.24814264487369986,0.20411297244849141
-1.0,13.68465965353393,1.0,1.5,1300,767,0.59,0.41,13.978543815857117,-0.011537798912203898,0.08868946608568407,0.242503259452412,0.20411297244849141
-1.0,13.68465965353393,1.0,1.8,1300,889,0.6838461538461539,0.3161538461538462,14.111306233907571,-0.010029929971336784,0.08948654353346,0.27334083239595053,0.20411297244849141
