run,method,n,bias_frac,res68_frac,mae_mev
61,1d_cnn,11287,-0.041980071581706455,0.2980178861308664,4.158338361114794
61,physics_residual_mlp,11287,0.027056700838822705,0.10518944196386873,1.6366281923156314
62,old_power_law,11911,0.06726886359223415,0.9582727218814915,8.397666796045968
62,geant4_birks_lookup,11911,-0.01506608463683761,0.04272956842699519,1.7266996021128798
62,ridge,11911,0.043627938612118396,0.1740608592987915,2.0116135167260145
62,gradient_boosted_trees,11911,-0.006362424011001445,0.10921263459990312,1.3776553169365047
62,mlp,11911,-0.3407421881831882,0.6387776653645647,7.300166815343204
62,1d_cnn,11911,-0.04848022144272913,0.29591362212426975,3.8532786975682987
62,physics_residual_mlp,11911,0.032463446072917214,0.10640971401351929,1.5705524248687242
63,old_power_law,14779,0.2707695737428915,0.9073084033491398,7.116395742907793
63,geant4_birks_lookup,14779,-0.015011998437412894,0.03812040043317426,1.3685147448894521
63,ridge,14779,0.054912207633686476,0.14326888905728116,1.5549551452620973
63,gradient_boosted_trees,14779,0.007859431467112014,0.07606888918564585,1.028659721328304
63,mlp,14779,-0.4956324143258203,0.6857307548632895,7.512874685146431
63,1d_cnn,14779,-0.12446553072729025,0.25878063557346037,3.0951148071249213
63,physics_residual_mlp,14779,0.03509128776825058,0.08603712057888559,1.2143927068736986
65,old_power_law,11904,0.6692248785089931,1.518803208633585,6.727221329080993
65,geant4_birks_lookup,11904,-0.014147030474041655,0.031533777845618664,0.9413961928563708
65,ridge,11904,0.06364952184777893,0.1431422368039219,1.272242880682693
65,gradient_boosted_trees,11904,0.026813766662440966,0.07333825105218893,0.6402843348792896
65,mlp,11904,-0.40509466353423385,0.6800155865361259,6.408399555913834
65,1d_cnn,11904,-0.10387049476305948,0.25080760498906335,2.427376745869785
65,physics_residual_mlp,11904,0.04364159029503656,0.08061103235771021,0.8193414586427601
