accepted_n,accepted_fraction,bias_median_frac,model_energy_proxy_res68,p04b_charge_propagated_energy_res68,combined_energy_proxy_res68,depth_order_violation_rate,geometry,method,uncertainty_threshold,accepted_fraction_ci95,bias_median_frac_ci95,model_energy_proxy_res68_ci95,p04b_charge_propagated_energy_res68_ci95,combined_energy_proxy_res68_ci95,depth_order_violation_rate_ci95,clears_10pct_point,clears_10pct_ci95_high
87849,0.26392811219400814,0.014111307805615106,0.036153058403814456,0.03745330597911189,0.05205567942803741,0.0,center_4cm,ml_monotonic_hgb,0.05,"[0.17453169323195578, 0.3523225306750191]","[0.01265272554387121, 0.01572955582373684]","[0.032258753261298595, 0.04110874929108137]","[0.037285538674806974, 0.041616677786363264]","[0.05025054002707877, 0.05558551215247475]","[0.0, 0.0]",True,True
113051,0.3396434451347746,0.011343170271431533,0.03415492961497954,0.04637401286037605,0.05759434248065108,0.0,center_4cm,ml_monotonic_hgb,0.075,"[0.2532881338404325, 0.4226328000076784]","[0.010178989593451059, 0.012420302498675843]","[0.030025524229226608, 0.03899548755866398]","[0.04539732918337974, 0.04669858159112867]","[0.055368505432044295, 0.0598860017256026]","[0.0, 0.0]",True,True
131672,0.39558722795717016,0.009495559155730308,0.03236568374846264,0.05336790427655038,0.06241530814933579,0.0,center_4cm,ml_monotonic_hgb,0.1,"[0.29230359102256886, 0.537094874765127]","[0.007995905169313658, 0.010601193853969626]","[0.02853814174050469, 0.036570591000953855]","[0.04964633915722586, 0.05540716173838129]","[0.059765961533243574, 0.06388178723357797]","[0.0, 0.0]",True,True
141198,0.4242065542643577,0.008636222585146756,0.03174447612748543,0.05809510749877237,0.06620236612011998,0.0,center_4cm,ml_monotonic_hgb,0.125,"[0.29634597822232733, 0.56665872705384]","[0.007176636863581178, 0.009944779476232181]","[0.028025325020191085, 0.03635719454462574]","[0.05540716173838129, 0.06004313785364534]","[0.06427685250704525, 0.06751677117206605]","[0.0, 0.0]",True,True
158799,0.47708591205701034,0.007362187426538657,0.030862057187136558,0.06371857283021717,0.07079917441144196,0.0,center_4cm,ml_monotonic_hgb,0.15,"[0.3767362045540965, 0.6326931129184352]","[0.006070536834206273, 0.008415518119126157]","[0.02749632888421576, 0.034113977720598855]","[0.06044296822206719, 0.07858020350382995]","[0.06907437923951854, 0.08325293462027568]","[0.0, 0.0]",True,True
263578,0.7918774710682225,-0.0006409638664980865,0.027215212648123134,0.16413131580596907,0.16637234333771136,0.0,center_4cm,ml_monotonic_hgb,0.2,"[0.7322924903489588, 0.8511909608672287]","[-0.0043227189185976, 0.0031675974588824545]","[0.024431377994621088, 0.030513897053512512]","[0.13226925041029194, 0.1758877693150898]","[0.13543496850532433, 0.1778576033043617]","[0.0, 0.0]",False,False
325907,0.9791348707533679,-0.0033353838328142307,0.025386533884097038,0.1839088148775695,0.18565270882031465,0.0,center_4cm,ml_monotonic_hgb,0.25,"[0.9750576501226619, 0.9838603072095014]","[-0.006567720270411914, 0.0013614763692779922]","[0.023116931417412872, 0.0283818040886821]","[0.1648891016977147, 0.19308212093150096]","[0.16706119123536783, 0.19463733677275416]","[0.0, 0.0]",False,False
332244,0.998173362335212,-0.0034554036563188674,0.025925867834849882,0.18507111933478274,0.18687822193829726,0.0,center_4cm,ml_monotonic_hgb,0.3,"[0.9979142203132516, 0.9984415655131642]","[-0.006985178411591839, 0.0008450389640885554]","[0.023591720324867855, 0.029110447936772907]","[0.16676842719317564, 0.19355244939012287]","[0.1692331211972342, 0.1951477395509733]","[0.0, 0.0]",False,False
332823,0.9999128741903308,-0.003456763011733125,0.025969793634105252,0.185513509672283,0.18732242912242583,0.0,center_4cm,ml_monotonic_hgb,0.4,"[0.9998820921627958, 0.999948340900335]","[-0.006308049252974921, 0.001054272862387604]","[0.023441869957852263, 0.029206088039319004]","[0.16551936325035183, 0.19337464391999185]","[0.1674899064484535, 0.19489294254991327]","[0.0, 0.0]",False,False
332852,1.0,-0.003456763011733125,0.025970408267889974,0.18567993812942354,0.18748733698398792,0.0,center_4cm,ml_monotonic_hgb,1.0,"[1.0, 1.0]","[-0.006912217723223018, 0.0006326374602109014]","[0.023719604821614462, 0.02896704801988658]","[0.16549217479078604, 0.19513435389179684]","[0.1678403571389293, 0.19662637770945046]","[0.0, 0.0]",False,False
90974,0.27331666927042647,-0.017518855841943952,0.020831120575438112,0.03543469946182027,0.04110417874593734,0.0,center_2cm,traditional_depth_charge_lookup,0.05,"[0.19558071423151294, 0.37554350641787604]","[-0.018069947982741707, -0.01691197289943458]","[0.02045053376068008, 0.021069557703389256]","[0.03445566015992366, 0.03720922646024494]","[0.040306718103776604, 0.04254492140337774]","[0.0, 0.0]",True,True
122386,0.3676889428334515,-0.016523611731848936,0.02047175704228775,0.04546295858730174,0.04985953710083128,0.0,center_2cm,traditional_depth_charge_lookup,0.075,"[0.27884334738627453, 0.49412497472714406]","[-0.017203047128728936, -0.015961056092773266]","[0.020042527170088083, 0.020969442762010015]","[0.04418487584674958, 0.046443172912807605]","[0.048853553847455676, 0.050541725418043984]","[0.0, 0.0]",True,True
132657,0.3985465011476572,-0.016168321284884254,0.020165410738537518,0.04956964747185846,0.05351442553871104,0.0,center_2cm,traditional_depth_charge_lookup,0.1,"[0.283155788202051, 0.5564435894828937]","[-0.01669412877442609, -0.015505168628755926]","[0.01964864423444045, 0.02069614434755424]","[0.047918383207135214, 0.05127593532622251]","[0.052202414182724144, 0.05493011574692096]","[0.0, 0.0]",True,True
139480,0.419045101126026,-0.015987738448393393,0.019980031013335564,0.05291687413649169,0.056563214262196536,0.0,center_2cm,traditional_depth_charge_lookup,0.125,"[0.32225831230499047, 0.5657936964805614]","[-0.016544615313018797, -0.015374928520502623]","[0.019320172562315184, 0.020586110881136134]","[0.050722063975175535, 0.05502997141048889]","[0.054707051422507834, 0.05834898289021983]","[0.0, 0.0]",True,True
146304,0.4395467054426592,-0.015832316520145766,0.019814446947575795,0.05603404526893995,0.059434220252644915,0.0,center_2cm,traditional_depth_charge_lookup,0.15,"[0.33395063812788944, 0.5786007716910547]","[-0.016319574409406696, -0.0151678171199736]","[0.01917570835258045, 0.02037052099209393]","[0.05329213137015446, 0.05865736635779082]","[0.05705235152028519, 0.06174654556611262]","[0.0, 0.0]",True,True
167455,0.5030914640741231,-0.015398954219996874,0.01953725485508307,0.06620359229104644,0.06902622660635283,0.0,center_2cm,traditional_depth_charge_lookup,0.2,"[0.40767739604907055, 0.6407067572026983]","[-0.015934067820270334, -0.014777870267418291]","[0.018891835836304723, 0.020256573438547608]","[0.060773145470689675, 0.07356630731227679]","[0.06407269581615305, 0.07596975795429552]","[0.0, 0.0]",True,True
307542,0.9239601985266725,-0.011139216270876086,0.019239502747606285,0.2216777022480363,0.22251103824292445,0.0,center_2cm,traditional_depth_charge_lookup,0.25,"[0.9112777225655032, 0.9381112080437853]","[-0.01408171347943251, -0.00786921504169118]","[0.018409986435491396, 0.01998198101163008]","[0.20661699000504438, 0.22949890446745747]","[0.20754542006617652, 0.23025804047403192]","[0.0, 0.0]",False,False
332852,1.0,-0.011320572456176486,0.019103582006076602,0.22861724938524608,0.2294140221563161,0.0,center_2cm,traditional_depth_charge_lookup,0.3,"[1.0, 1.0]","[-0.014347333750728435, -0.008509699149984522]","[0.01800110433849225, 0.0201589968854972]","[0.20128970334432314, 0.2338717009621768]","[0.2023138391570323, 0.2345751732081224]","[0.0, 0.0]",False,False
332852,1.0,-0.011320572456176486,0.019103582006076602,0.22861724938524608,0.2294140221563161,0.0,center_2cm,traditional_depth_charge_lookup,0.4,"[1.0, 1.0]","[-0.01405528383380597, -0.008994633077787452]","[0.01805071259456825, 0.02008748886109752]","[0.2089712961826432, 0.23369633359542052]","[0.2099231204084611, 0.2343775814676731]","[0.0, 0.0]",False,False
