action_mask,method,n,runs,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,purity_at_80pct_eff,purity_ci_low,purity_ci_high,ece,ece_ci_low,ece_ci_high,bootstrap_valid
p07j_traditional_correct,NN_action_gated_residual_ensemble_new,67,11,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.018242485212007286,0.0033456705213605166,0.03869451934006657,271
p07j_traditional_correct,control_charge_only,67,11,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,0.02446040500349498,0.011309851584481997,0.03662416783245415,269
p07j_traditional_correct,control_depth_only,67,11,0.8153846153846154,0.7103030303030303,0.8975719932241671,0.9939368647696378,0.9883890433382524,0.997835976124885,0.9811320754716981,0.9504713114754098,1.0,0.3673451995682707,0.32120137054552306,0.40298790424663045,257
p07j_traditional_correct,control_action_only,67,11,0.13461538461538464,0.06049298959746721,0.311764705882353,0.9368182607273661,0.9108819444441446,0.9666872682568498,0.967741935483871,0.930102657004831,0.9853571428571429,1.9582874899559677e-05,0.0009959423510230104,0.04083658405072606,276
p07j_traditional_correct,control_run_family_only,67,11,0.5,0.5,0.5,0.9701492537313433,0.9407387955182073,0.9862300228310502,0.9701492537313433,0.9361239119303635,0.9861824581430746,0.4701492537313433,0.43990800865800866,0.5,270
p07j_traditional_correct,control_shuffled_label_hgb,67,11,0.9307692307692308,0.7549109235818097,1.0,0.9977793053860522,0.9921216116829739,1.0,1.0,0.9734270060091905,1.0,0.4704698927860975,0.44551326049129625,0.4999623212037225,267
s14g_traditional_and_p07j_correct,traditional_charge_depth_logistic,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,ML_ridge_waveform,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,ML_gradient_boosted_trees,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,ML_mlp,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,NN_1d_cnn,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,NN_action_gated_residual_ensemble_new,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,control_charge_only,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,control_depth_only,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,control_action_only,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,control_run_family_only,0,0,,,,,,,,,,,,,0
s14g_traditional_and_p07j_correct,control_shuffled_label_hgb,0,0,,,,,,,,,,,,,0
