alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
1.0,10.0,-1,1.5824307850870067,0,58
1.0,100.0,0,2.094214706678543,2997,58
1.0,100.0,1,1.3857613459421871,3534,58
1.0,100.0,2,1.4586597151430518,4710,58
1.0,100.0,-1,1.646211922587927,0,58
1.0,1000.0,0,2.1033390383697315,2997,58
1.0,1000.0,1,1.3905556288966172,3534,58
1.0,1000.0,2,1.455623334139359,4710,58
1.0,1000.0,-1,1.6498393338019026,0,58
1.0,10000.0,0,2.109749532019103,2997,58
1.0,10000.0,1,1.3822908505687244,3534,58
1.0,10000.0,2,1.4323622262024656,4710,58
1.0,10000.0,-1,1.6414675362634312,0,58
10.0,1.0,0,1.5575555552125007,2997,58
10.0,1.0,1,1.8673238055433135,3534,58
10.0,1.0,2,2.0531950034114463,4710,58
10.0,1.0,-1,1.8260247880557536,0,58
10.0,10.0,0,1.440391876963564,2997,58
10.0,10.0,1,1.017405092882543,3534,58
10.0,10.0,2,1.088543222072242,4710,58
10.0,10.0,-1,1.1821133973061164,0,58
10.0,100.0,0,2.009381225599065,2997,58
10.0,100.0,1,1.3258617967060582,3534,58
10.0,100.0,2,1.423240407345201,4710,58
10.0,100.0,-1,1.5861611432167748,0,58
10.0,1000.0,0,2.0838416743990185,2997,58
10.0,1000.0,1,1.3797595308022417,3534,58
10.0,1000.0,2,1.469606339196012,4710,58
10.0,1000.0,-1,1.6444025147990906,0,58
10.0,10000.0,0,2.0981865859766584,2997,58
10.0,10000.0,1,1.3779318902111608,3534,58
10.0,10000.0,2,1.4514839872140888,4710,58
10.0,10000.0,-1,1.6425341544673027,0,58
100.0,1.0,0,2.4934171484949466,2997,58
100.0,1.0,1,2.753187522657716,3534,58
100.0,1.0,2,2.891583304515961,4710,58
100.0,1.0,-1,2.7127293252228744,0,58
100.0,10.0,0,1.5563246779928925,2997,58
100.0,10.0,1,1.870464593536631,3534,58
100.0,10.0,2,2.0584663849190576,4710,58
100.0,10.0,-1,1.828418552149527,0,58
100.0,100.0,0,1.4118206573104704,2997,58
100.0,100.0,1,1.0052017790584473,3534,58
100.0,100.0,2,1.0639834993334716,4710,58
100.0,100.0,-1,1.1603353119007964,0,58
100.0,1000.0,0,1.9835684755864638,2997,58
100.0,1000.0,1,1.2533283124862962,3534,58
100.0,1000.0,2,1.362676991357859,4710,58
100.0,1000.0,-1,1.5331912598102064,0,58
100.0,10000.0,0,2.0615285429600085,2997,58
100.0,10000.0,1,1.3096943773581795,3534,58
100.0,10000.0,2,1.4045748608013071,4710,58
100.0,10000.0,-1,1.5919325937064983,0,58
0.01,1.0,0,2.1231817151485037,2799,59
0.01,1.0,1,1.3278236605535405,2841,59
0.01,1.0,2,1.5061780356244276,3531,59
0.01,1.0,-1,1.6523944704421574,0,59
0.01,10.0,0,2.125358080000727,2799,59
0.01,10.0,1,1.3367687903861607,2841,59
0.01,10.0,2,1.4960581216857876,3531,59
0.01,10.0,-1,1.6527283306908915,0,59
0.01,100.0,0,2.130280793702306,2799,59
0.01,100.0,1,1.3420026101992961,2841,59
0.01,100.0,2,1.4727234940352323,3531,59
0.01,100.0,-1,1.6483356326456116,0,59
0.01,1000.0,0,2.1394954380923306,2799,59
0.01,1000.0,1,1.3408321383477884,2841,59
0.01,1000.0,2,1.431616851878347,3531,59
0.01,1000.0,-1,1.6373148094394885,0,59
0.01,10000.0,0,2.1419205369448036,2799,59
0.01,10000.0,1,1.3095966527632066,2841,59
0.01,10000.0,2,1.3851036161037786,3531,59
0.01,10000.0,-1,1.6122069352705963,0,59
0.1,1.0,0,2.051302380841652,2799,59
0.1,1.0,1,1.244745990025774,2841,59
0.1,1.0,2,1.4621295512471855,3531,59
0.1,1.0,-1,1.5860593073715374,0,59
0.1,10.0,0,2.114043440344245,2799,59
0.1,10.0,1,1.3327897661462058,2841,59
0.1,10.0,2,1.5014144992301928,3531,59
0.1,10.0,-1,1.6494159019068813,0,59
0.1,100.0,0,2.119098300185441,2799,59
0.1,100.0,1,1.3416266284325862,2841,59
0.1,100.0,2,1.4766318023139426,3531,59
0.1,100.0,-1,1.6457855769773235,0,59
0.1,1000.0,0,2.1353913393409014,2799,59
0.1,1000.0,1,1.337930589102966,2841,59
0.1,1000.0,2,1.434618088255523,3531,59
0.1,1000.0,-1,1.6359800055664635,0,59
0.1,10000.0,0,2.147866575570918,2799,59
0.1,10000.0,1,1.3096568901817867,2841,59
0.1,10000.0,2,1.3980192524981638,3531,59
0.1,10000.0,-1,1.618514239416956,0,59
1.0,1.0,0,1.5411017691298812,2799,59
1.0,1.0,1,0.9293467107748026,2841,59
1.0,1.0,2,1.1527817752478609,3531,59
1.0,1.0,-1,1.2077434183841815,0,59
1.0,10.0,0,2.0406362006818033,2799,59
1.0,10.0,1,1.2739551607957307,2841,59
1.0,10.0,2,1.470889806717258,3531,59
1.0,10.0,-1,1.595160389398264,0,59
