run,method,n,charge_bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,charge_within10_frac,time_bias_median_ns,time_abs68_ns,time_full_rms_ns,charge_res68_abs_frac_ci95,time_abs68_ns_ci95,charge_bias_median_frac_ci95,time_bias_median_ns_ci95
34,traditional_template,15541,0.09511951383909258,0.11243986887648355,0.1785435113038583,0.553310597773631,0.003528216036892573,0.07580173941283484,0.35743126391241725,"[0.11172139236779732, 0.11337362150433063]","[0.07293759621971253, 0.0788665931499889]","[0.09447923592414119, 0.09583733324066872]","[0.0019072472180358345, 0.004755536719031994]"
35,ml_ratio_transfer,1411,0.160045746590411,0.18814012792425308,0.6863137789657356,0.07866761162296244,0.16702245557392104,0.30125016623440076,1.1614799775626192,"[0.1847966806655028, 0.19204052675634642]","[0.281282698809817, 0.3195532430009735]","[0.15618016098087742, 0.16342323801409675]","[0.15372860434699476, 0.17079915581751157]"
35,observed_raw,1411,0.10393000698028265,0.13339753964444012,0.6308078125268445,0.4571226080793763,-0.10554166526267039,0.2809367343017712,1.2459531967577968,"[0.12931592213903045, 0.13655481066791336]","[0.25407497985178035, 0.31061892553355913]","[0.10125275896420613, 0.10871975768046062]","[-0.12887568510849706, -0.08833170408916047]"
35,traditional_template,1411,0.10393000698028265,0.13339753964444012,0.630802539845021,0.4578313253012048,-0.10554166526267039,0.2809367343017712,1.24596806902731,"[0.1292832304094881, 0.13684735800015857]","[0.2540664692568028, 0.30541931611069956]","[0.10109725124392191, 0.10812751554666165]","[-0.12897568773324136, -0.08489408150952515]"
36,ml_ratio_transfer,2143,0.16268839186384412,0.18736194866146857,1.5772803930060046,0.0867942137190854,0.17574454652868354,0.27671145209967235,1.0157327533337013,"[0.18419458264363098, 0.1899595035503576]","[0.2650822658552533, 0.29137721235735625]","[0.16032364748392872, 0.16436206705958062]","[0.16870287004379456, 0.17948067744601648]"
36,observed_raw,2143,0.10679996518018538,0.12979775041994612,1.4851578466880146,0.4451703219785348,-0.09494238196390725,0.2580695971058836,1.0731561009930823,"[0.12672251146462957, 0.13294312872597266]","[0.23841918690304792, 0.28145904965604096]","[0.10383148897802019, 0.1088165872692433]","[-0.10932902825818624, -0.07832686424205804]"
36,traditional_template,2143,0.10679996518018538,0.12979775041994612,1.5172018697966063,0.4451703219785348,-0.09494238196390725,0.2580695971058836,1.073867985443522,"[0.12644301578249711, 0.13303680869484688]","[0.2382139528527469, 0.279432903487343]","[0.10363615990412006, 0.1089539035817844]","[-0.10649915845252877, -0.07762287911527199]"
37,ml_ratio_transfer,4947,0.16226034370567868,0.1867557407241241,1.6769147204563317,0.08267636951687891,0.17256921360720767,0.27389242446040574,1.0999185963707858,"[0.1845203390335296, 0.18925120947678734]","[0.26203936855233945, 0.2816979139369232]","[0.16061476093691893, 0.16403478479343145]","[0.17004120367881254, 0.174548760525212]"
37,observed_raw,4947,0.10643714304447593,0.1299990190616086,1.5708574765303147,0.43056397816858705,-0.08804102008901893,0.2465756469162022,1.1714417214454174,"[0.12792039647637674, 0.13185392152559114]","[0.23233043233346912, 0.26347583072091196]","[0.10513346270441559, 0.10820297810700656]","[-0.09802755127254406, -0.07547618284373679]"
37,traditional_template,4947,0.10643714304447593,0.1299990190616086,1.5708565873616953,0.43056397816858705,-0.0877603203943309,0.2473432873759897,1.1714658043580533,"[0.12825079768430095, 0.13255695426292252]","[0.23356567524371696, 0.2628648999298568]","[0.10516197717159662, 0.10812028604505022]","[-0.09564075218536719, -0.07575557795134238]"
39,ml_ratio_transfer,2305,0.15918112834741194,0.18415881428517297,3.5512474951002577,0.10629067245119306,0.16293463457617818,0.26401876951663483,1.371062439286827,"[0.1814607746625649, 0.18677931598703995]","[0.2554182399282935, 0.2762777751236576]","[0.15619449186740517, 0.1614193005199566]","[0.15870505922302236, 0.16682772880668448]"
39,observed_raw,2305,0.10695202665572193,0.13157924988327946,3.3084464400835962,0.43470715835141,-0.07927154397146197,0.2512102547369779,1.4436169586810896,"[0.12892061446074102, 0.13428580146091892]","[0.230247437497993, 0.26960879628354917]","[0.10439222943629461, 0.10927423712229442]","[-0.09804752901433736, -0.06167573734424643]"
39,traditional_template,2305,0.10695202665572193,0.13157924988327946,3.3152498856761996,0.43470715835141,-0.07927154397146197,0.2512102547369779,1.44361862742348,"[0.12894746964738224, 0.13429712913531763]","[0.2301237781963801, 0.26802062452759845]","[0.10456232024210424, 0.1094762952509838]","[-0.09896252557099317, -0.06402334124196685]"
40,ml_ratio_transfer,1985,0.16141384860686972,0.18842777488019932,4.034919690210249,0.10075566750629723,0.1678010841893922,0.28520086238680625,1.453252380723564,"[0.18542126566103775, 0.1920794206590743]","[0.2689420193334493, 0.3038707988343826]","[0.15828896298338496, 0.1651283112716654]","[0.1641195392568342, 0.1702435532934885]"
40,observed_raw,1985,0.10797949443221982,0.13480871206814382,3.7858579204503626,0.4226700251889169,-0.07734379787615708,0.26639807157330186,1.5274450384586022,"[0.13098190343040708, 0.13762085485778536]","[0.24709060009868022, 0.29957519095420654]","[0.10467029582046505, 0.11127417827363746]","[-0.0911439682726547, -0.05685905359366839]"
40,traditional_template,1985,0.10797949443221982,0.13480871206814382,3.799177838484489,0.4226700251889169,-0.07734379787615708,0.26639807157330186,1.527808861452443,"[0.13151478120889756, 0.13761313574031278]","[0.2452008764082782, 0.2987729601509628]","[0.1047887454263971, 0.11112082431862107]","[-0.09166551870773887, -0.056680482165096635]"
