heldout_run,model,score_column,flag_column,threshold,n_train,n_heldout,n_tail,n_parameters,average_precision,roc_auc,brier,ece,tail_capture_at_90_clean,clean_acceptance,flagged_fraction,C,learning_rate,hidden
63,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.07,flag_gradient_boosted_trees_learning_rate0.07,0.030927835051546393,3450,370,163,99,0.8514908678596473,0.9047301502622922,0.1320962503706677,0.12470234804711428,0.9202453987730062,0.7391304347826086,0.5513513513513514,,0.07,
63,mlp,score_mlp_hidden32,flag_mlp_hidden32,0.25,3450,370,163,3233,0.9630660560991161,0.9692510595418038,0.06836981377065592,0.04478118187047002,0.9263803680981595,0.8743961352657005,0.4783783783783784,,,32.0
63,mlp,score_mlp_hidden64,flag_mlp_hidden64,0.3466666666666667,3450,370,163,6465,0.9582076432866792,0.9640793100382324,0.0722290206488937,0.037026993636059075,0.9202453987730062,0.8695652173913043,0.4783783783783784,,,64.0
63,cnn1d,score_cnn1d,flag_cnn1d,0.41201885310290653,3450,370,163,1233,0.5616913401175903,0.6886280785987375,0.21622865041601358,0.11316456774108836,0.8957055214723927,0.4396135265700483,0.7081081081081081,,,
63,dilated_tcn,score_dilated_tcn,flag_dilated_tcn,0.45351473922902497,3450,370,163,2017,0.6222272315388689,0.7569277733321478,0.19534521713783282,0.12085313427039096,0.8098159509202454,0.6086956521739131,0.5756756756756757,,,
65,traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,0.3668885191347754,3754,66,24,0,0.4067796610169492,0.5833333333333333,0.21822268558398183,0.04115422027268551,1.0,0.16666666666666666,0.8939393939393939,,,
65,ridge,score_ridge_C0.1,flag_ridge_C0.1,0.48214285714285715,3754,66,24,99,0.9108150919857576,0.9464285714285714,0.08738676989400251,0.07474852301325169,0.75,0.9523809523809523,0.30303030303030304,0.1,,
65,ridge,score_ridge_C1,flag_ridge_C1,0.36538461538461536,3754,66,24,99,0.9187310362609524,0.9538690476190476,0.08780433464634783,0.06359770175651192,0.8333333333333334,0.9285714285714286,0.3484848484848485,1.0,,
65,ridge,score_ridge_C10,flag_ridge_C10,0.3925925925925926,3754,66,24,99,0.9308333343197988,0.9533730158730158,0.08440812010142565,0.07163264573498396,0.8333333333333334,0.9285714285714286,0.3484848484848485,10.0,,
65,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,0.2972972972972973,3754,66,24,99,0.9188408600415179,0.9389880952380952,0.08793751359725793,0.06961997517158003,0.8333333333333334,0.8809523809523809,0.3787878787878788,,0.03,
65,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.07,flag_gradient_boosted_trees_learning_rate0.07,0.03296703296703297,3754,66,24,99,0.8787322326796011,0.9250992063492064,0.08802890100942105,0.08474757209968538,0.9166666666666666,0.8571428571428571,0.42424242424242425,,0.07,
65,mlp,score_mlp_hidden32,flag_mlp_hidden32,0.34545454545454546,3754,66,24,3233,0.99164994425864,0.9955357142857143,0.0480162216448522,0.0821067641909994,0.875,1.0,0.3181818181818182,,,32.0
65,mlp,score_mlp_hidden64,flag_mlp_hidden64,0.29508196721311475,3754,66,24,6465,0.9732669082125605,0.9816468253968254,0.05290549450963783,0.059834752433885814,0.875,1.0,0.3181818181818182,,,64.0
65,cnn1d,score_cnn1d,flag_cnn1d,0.45143104943625323,3754,66,24,1233,0.5208333333333334,0.7356150793650793,0.18752222369108595,0.05486558492185655,0.9166666666666666,0.5238095238095238,0.6363636363636364,,,
65,dilated_tcn,score_dilated_tcn,flag_dilated_tcn,0.4646808510638298,3754,66,24,2017,0.46735301048662664,0.6661706349206349,0.19062776711934606,0.05905228633826838,0.7916666666666666,0.47619047619047616,0.6212121212121212,,,
