mode,family,run,method,n_events,sigma68_ns,n_pair_residuals
b2_heldout,all_six,65,cnn1d,63,3.277616277856006,378
b2_heldout,all_six,65,cnn1d_shuffled,63,3.31149262501478,378
b2_heldout,all_six,65,event_token_attention,63,3.332531379425433,378
b2_heldout,all_six,65,event_token_attention_shuffled,63,3.5816406654605597,378
b2_heldout,b2_containing,65,base,63,4.21042810270307,189
b2_heldout,b2_containing,65,traditional,63,4.212351314944583,189
b2_heldout,b2_containing,65,ridge,63,4.204947597826413,189
b2_heldout,b2_containing,65,ridge_shuffled,63,4.664095206003093,189
b2_heldout,b2_containing,65,gradient_boosted_trees,63,4.050723431888466,189
b2_heldout,b2_containing,65,gradient_boosted_trees_shuffled,63,5.055345009387129,189
b2_heldout,b2_containing,65,mlp,63,3.4504535716208475,189
b2_heldout,b2_containing,65,mlp_shuffled,63,6.115157568858628,189
b2_heldout,b2_containing,65,cnn1d,63,3.9767891498641688,189
b2_heldout,b2_containing,65,cnn1d_shuffled,63,4.168914721164743,189
b2_heldout,b2_containing,65,event_token_attention,63,3.7296655441122715,189
b2_heldout,b2_containing,65,event_token_attention_shuffled,63,4.481357875034522,189
b2_heldout,downstream_only,65,base,63,2.5877382570365577,189
b2_heldout,downstream_only,65,traditional,63,1.7576357147682025,189
b2_heldout,downstream_only,65,ridge,63,2.0532399524840357,189
b2_heldout,downstream_only,65,ridge_shuffled,63,2.82271752318005,189
b2_heldout,downstream_only,65,gradient_boosted_trees,63,2.055970669413216,189
b2_heldout,downstream_only,65,gradient_boosted_trees_shuffled,63,3.55031213584848,189
b2_heldout,downstream_only,65,mlp,63,1.8852485559823837,189
b2_heldout,downstream_only,65,mlp_shuffled,63,3.600498585819713,189
b2_heldout,downstream_only,65,cnn1d,63,2.0026324876032424,189
b2_heldout,downstream_only,65,cnn1d_shuffled,63,2.7505086714290092,189
b2_heldout,downstream_only,65,event_token_attention,63,2.0512680862506825,189
b2_heldout,downstream_only,65,event_token_attention_shuffled,63,2.665277211861617,189
b2_included,all_six,58,base,72,3.6456856104104385,432
b2_included,all_six,58,traditional,72,2.6380874730068475,432
b2_included,all_six,58,ridge,72,3.0758651725482298,432
b2_included,all_six,58,ridge_shuffled,72,4.324028713338416,432
b2_included,all_six,58,gradient_boosted_trees,72,2.819730846241286,432
b2_included,all_six,58,gradient_boosted_trees_shuffled,72,4.818616879461054,432
b2_included,all_six,58,mlp,72,3.425982560582805,432
b2_included,all_six,58,mlp_shuffled,72,5.235886115985946,432
b2_included,all_six,58,cnn1d,72,2.7242372032800244,432
b2_included,all_six,58,cnn1d_shuffled,72,3.6760430179347234,432
b2_included,all_six,58,event_token_attention,72,2.5784051204306375,432
b2_included,all_six,58,event_token_attention_shuffled,72,3.278036200492526,432
b2_included,b2_containing,58,base,72,6.297740042673771,216
b2_included,b2_containing,58,traditional,72,6.365541063634097,216
b2_included,b2_containing,58,ridge,72,6.301657586172601,216
b2_included,b2_containing,58,ridge_shuffled,72,6.3207671342126055,216
b2_included,b2_containing,58,gradient_boosted_trees,72,3.6590473573870392,216
b2_included,b2_containing,58,gradient_boosted_trees_shuffled,72,6.870206430019373,216
b2_included,b2_containing,58,mlp,72,5.34432588653037,216
b2_included,b2_containing,58,mlp_shuffled,72,7.3023229172796364,216
b2_included,b2_containing,58,cnn1d,72,5.259695708723946,216
b2_included,b2_containing,58,cnn1d_shuffled,72,6.311767642827365,216
b2_included,b2_containing,58,event_token_attention,72,5.143141969720277,216
b2_included,b2_containing,58,event_token_attention_shuffled,72,5.676335440728165,216
b2_included,downstream_only,58,base,72,2.707043244712787,216
b2_included,downstream_only,58,traditional,72,1.741371094383645,216
b2_included,downstream_only,58,ridge,72,1.8147387990509705,216
