sample,pair,stage,amp_bin,run,n,sigma68_ns
sample_I,B4-B6,raw_cfd20,4,53,45,1.2620968518279396
sample_I,B4-B6,raw_cfd20,4,54,45,1.343981429007795
sample_I,B4-B6,raw_cfd20,4,55,37,1.284161882194974
sample_I,B4-B6,raw_cfd20,4,56,79,1.452395860537961
sample_I,B4-B6,raw_cfd20,4,57,73,1.665562980507873
sample_I,B4-B6,raw_cfd20,5,45,78,1.1842787096777174
sample_I,B4-B6,raw_cfd20,5,48,57,1.2682692350093014
sample_I,B4-B6,raw_cfd20,5,49,64,1.0254567379399007
sample_I,B4-B6,raw_cfd20,5,50,72,1.3727338112118577
sample_I,B4-B6,raw_cfd20,5,51,23,1.2424455699547774
sample_I,B4-B6,raw_cfd20,5,53,45,1.0206877247479191
sample_I,B4-B6,raw_cfd20,5,54,55,1.3943701030802238
sample_I,B4-B6,raw_cfd20,5,55,28,1.3442827974843419
sample_I,B4-B6,raw_cfd20,5,56,78,1.1362037838802357
sample_I,B4-B6,raw_cfd20,5,57,50,1.2305876726994074
sample_I,B4-B6,timewalk_corrected,1,45,25,2.3546982427203087
sample_I,B4-B6,timewalk_corrected,2,45,41,2.0265796582470115
sample_I,B4-B6,timewalk_corrected,2,48,21,1.785661455295791
sample_I,B4-B6,timewalk_corrected,2,49,22,1.2852638968560783
sample_I,B4-B6,timewalk_corrected,2,50,24,1.6413765112319454
sample_I,B4-B6,timewalk_corrected,2,53,21,1.9145704340034402
sample_I,B4-B6,timewalk_corrected,2,56,24,1.987047181890155
sample_I,B4-B6,timewalk_corrected,2,57,20,2.0938821627307203
sample_I,B4-B6,timewalk_corrected,3,45,46,1.1919754777644367
sample_I,B4-B6,timewalk_corrected,3,48,31,1.8828387607656187
sample_I,B4-B6,timewalk_corrected,3,49,33,1.9261695511635142
sample_I,B4-B6,timewalk_corrected,3,50,32,1.768127092007989
sample_I,B4-B6,timewalk_corrected,3,51,20,1.6546335013752653
sample_I,B4-B6,timewalk_corrected,3,53,29,2.055614999243157
sample_I,B4-B6,timewalk_corrected,3,54,29,1.5448339868894816
sample_I,B4-B6,timewalk_corrected,3,55,28,1.3975550321160817
sample_I,B4-B6,timewalk_corrected,3,56,40,1.757289353101191
sample_I,B4-B6,timewalk_corrected,3,57,36,1.7274112019216596
sample_I,B4-B6,timewalk_corrected,4,45,73,1.1706465202780487
sample_I,B4-B6,timewalk_corrected,4,48,47,1.2913083425603236
sample_I,B4-B6,timewalk_corrected,4,49,53,1.3967387546192223
sample_I,B4-B6,timewalk_corrected,4,50,54,1.2719335231344608
sample_I,B4-B6,timewalk_corrected,4,51,29,1.2936570375832646
sample_I,B4-B6,timewalk_corrected,4,53,45,1.1680043599566705
sample_I,B4-B6,timewalk_corrected,4,54,45,1.4061102639134142
sample_I,B4-B6,timewalk_corrected,4,55,37,1.144453533204354
sample_I,B4-B6,timewalk_corrected,4,56,79,1.355322787712908
sample_I,B4-B6,timewalk_corrected,4,57,73,1.366747105105066
sample_I,B4-B6,timewalk_corrected,5,45,78,1.2815933175229568
sample_I,B4-B6,timewalk_corrected,5,48,57,0.9501314407355752
sample_I,B4-B6,timewalk_corrected,5,49,64,1.0821652884918063
sample_I,B4-B6,timewalk_corrected,5,50,72,1.2596398709245344
