run,run_group,sample_family,method,family,model_family,n_pair_residuals,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
45,sample_i_analysis,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,282,-0.7806363583498487,-0.7787810740806265,0.862606730253964,1.663908566932671,0.02127659574468085,0.7362326259348079,0.959050611080051,-0.3384208345800592,-0.45973767490346684,-0.21452282045139262
45,sample_i_analysis,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,282,-0.48497199999472496,-0.5244499880595761,0.9184236222273114,1.9181259820212442,0.02127659574468085,0.7470063296762288,1.1118693384455878,-0.28260394260671173,-0.4352396537951446,-0.08578257353709098
45,sample_i_analysis,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,282,-0.7647640129183721,-0.7591527721251445,1.0061981214611837,1.8507944585840201,0.01773049645390071,0.8405391943766524,1.1505445843383242,-0.19482944337283947,-0.3416480299402131,-0.05244491337442489
45,sample_i_analysis,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,282,-0.7527593603112297,-0.7971151430301191,1.0587957377983046,1.6602660711943424,0.01773049645390071,0.9600759477434334,1.1393667319688945,-0.14223182703571857,-0.2560119230667671,-0.015202381415919933
45,sample_i_analysis,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,282,-0.7811592879684329,-0.8659043888543714,1.1019095515215,1.848856639979641,0.01773049645390071,1.0161806081079705,1.2135985717496445,-0.09911801331252312,-0.18082813366725276,0.058533529254124826
45,sample_i_analysis,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,282,1.0576147109439513,1.6984546849041564,1.2010275648340232,1.7763676732695237,0.01773049645390071,1.1173965099160523,1.2539746756917884,0.0,0.0,0.0
46,sample_i_analysis,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,3,-0.3308881327938546,-0.49633219919078186,0.2233770198435029,0.2926182666792853,0.0,0.2233770198435029,0.2233770198435029,0.0,0.0,0.0
46,sample_i_analysis,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,3,-1.625484260787066,-2.4382263911805993,0.8759427017303321,1.1985395026219001,0.0,0.8759427017303321,0.8759427017303321,0.6525656818868292,0.6525656818868292,0.6525656818868292
46,sample_i_analysis,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,3,-1.7696372077297677,-2.6544558115946515,0.9193064599424163,1.2688233596641252,0.0,0.9193064599424163,0.9193064599424163,0.6959294400989134,0.6959294400989134,0.6959294400989134
46,sample_i_analysis,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,3,-2.0422493820817778,-2.9023151593406453,0.9867871541758194,1.3318266095713696,0.0,0.9867871541758194,0.9867871541758194,0.7634101343323165,0.7634101343323165,0.7634101343323165
46,sample_i_analysis,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,3,-2.0524017220170805,-2.9594990210731282,1.0062296671648636,1.3679127034523035,0.0,1.0062296671648636,1.0062296671648636,0.7828526473213607,0.7828526473213607,0.7828526473213607
46,sample_i_analysis,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,3,-1.738601307613801,-2.6079019614207013,1.0987035279660977,1.4554220524610344,0.0,1.0987035279660977,1.0987035279660977,0.8753265081225948,0.8753265081225948,0.8753265081225948
47,sample_i_analysis,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,27,-0.45116538843186577,-0.44087223129060504,0.6865118362167788,0.9022639450606574,0.0,0.4759105556299829,1.18456077752583,-0.6659023459644984,-1.0574828621662162,-0.06645991122900027
47,sample_i_analysis,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,27,-0.7104132775317098,-1.113375106759527,1.0055612488716064,1.0840779445269377,0.0,0.6720691538262742,1.5340058603272464,-0.3468529333096708,-0.908452128560334,0.405871679110539
47,sample_i_analysis,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,27,-0.785732670069339,-0.9670952438131479,1.031119270199948,1.1034295539925247,0.0,0.702304179616668,1.4407170908573106,-0.3212949119813291,-0.8441744024576342,0.11088464671052448
47,sample_i_analysis,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,27,-0.8311510175428362,-1.0783889316286093,1.1137294508060367,1.1575290885170169,0.0,0.88804596180508,1.3986228706161936,-0.2386847313752405,-0.7539023125383386,0.35368773748242144
47,sample_i_analysis,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,27,-0.8519823706774159,-0.982116824371829,1.2952765472397103,1.2258297444963646,0.0,0.9470926597711651,1.5867748523380332,-0.05713763494156687,-0.6511320031942185,0.4483989904084577
47,sample_i_analysis,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,27,1.1098200931631395,1.915249754606137,1.3524141821812772,1.4869804238870374,0.0,0.9730589869855122,1.7565723219403155,0.0,0.0,0.0
