method,stratum,target,accepted_fraction,risk_threshold_abs_frac,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_median_frac_ci95,res68_abs_frac_ci95,full_rms_frac_ci95,within_10pct_ci95,within_25pct_ci95
mlp_train_dynamic_selector,dynamic_only,duplicate,0.5001345895020188,0.08289009683059044,1858,-0.018875585838829714,0.04736993495887423,0.043134120125034044,1.0,1.0,"[-0.025282338792379393, -0.0023406272494834964]","[0.04143939163931087, 0.05128282906678811]","[0.03871409218922112, 0.04501344642462146]","[1.0, 1.0]","[1.0, 1.0]"
mlp_train_dynamic_selector,dynamic_only,duplicate,0.2500672947510094,0.0345518553014839,929,-0.006646483654537664,0.023134565198552056,0.01994248186159955,1.0,1.0,"[-0.010111828188285885, 0.0007483350948289944]","[0.021263335493101068, 0.024214168190427012]","[0.018714797621691658, 0.020566908027461046]","[1.0, 1.0]","[1.0, 1.0]"
1d_cnn_train_dynamic_selector,dynamic_only,duplicate,1.0,3.626120448066011,3715,0.0020106128342571097,0.2686088669578017,0.4199597821703162,0.3668909825033647,0.6535666218034993,"[-0.008672254718942953, 0.0121825605382885]","[0.215046987001051, 0.28393491124975]","[0.34558476686954387, 0.44491282165262025]","[0.34547792880088884, 0.4529309852839265]","[0.6317470192786568, 0.7184359770746105]"
1d_cnn_train_dynamic_selector,dynamic_only,duplicate,0.7499327052489906,0.333148189853374,2786,-0.024209793912913592,0.1646428268572402,0.15360233148925762,0.4892318736539842,0.8715003589375449,"[-0.03542114218064877, -0.010436166115612329]","[0.14158443210751942, 0.1720733599101963]","[0.1449248156220877, 0.15692828429952096]","[0.46610466201860346, 0.5546497971385865]","[0.8580104124539795, 0.8905252529152831]"
1d_cnn_train_dynamic_selector,dynamic_only,duplicate,0.5001345895020188,0.16031606198322537,1858,-0.01733830994119926,0.09172873215011068,0.08231896293459494,0.7335844994617868,1.0,"[-0.02657085158360389, -0.007367263660149751]","[0.08280489785687868, 0.09584138403216272]","[0.07570455051847148, 0.08483016491430084]","[0.7037174653050537, 0.785212871446768]","[1.0, 1.0]"
1d_cnn_train_dynamic_selector,dynamic_only,duplicate,0.2500672947510094,0.06537863877098532,929,-0.0032526480035306236,0.04244292763461335,0.03679226261730292,1.0,1.0,"[-0.010909412595543138, 0.00045896075770907464]","[0.039624824840262654, 0.0447440475295227]","[0.03555808427345442, 0.038039522411246446]","[1.0, 1.0]","[1.0, 1.0]"
residual_gated_cnn_train_dynamic_selector,dynamic_only,duplicate,1.0,2.6216161115038057,3715,-0.04030351569572588,0.18445491642856124,0.2914835439026114,0.44925975773889637,0.7749663526244953,"[-0.048344819474973245, -0.020049742293487893]","[0.15335611259710025, 0.19607169795579246]","[0.2724398548230214, 0.3107727047072968]","[0.4105698813137958, 0.5327566726235085]","[0.7527435851352748, 0.8154372841556499]"
residual_gated_cnn_train_dynamic_selector,dynamic_only,duplicate,0.7499327052489906,0.22438689724671262,2786,-0.04389886437939539,0.11895293934580604,0.10908029640200195,0.5990667623833453,1.0,"[-0.05030844175750592, -0.02576617568074505]","[0.09563126528065435, 0.12906490577108126]","[0.09594669463414897, 0.11432857989553342]","[0.5598427895710989, 0.7047579587923377]","[1.0, 1.0]"
residual_gated_cnn_train_dynamic_selector,dynamic_only,duplicate,0.5001345895020188,0.11605502413370751,1858,-0.02982066680613841,0.07399253067633678,0.06355106611841407,0.8982777179763186,1.0,"[-0.0353565425522683, -0.01856732070300483]","[0.06716629307402057, 0.07869157497739482]","[0.06007682407080646, 0.0664538458040803]","[0.8815649577198273, 0.9248815961036969]","[1.0, 1.0]"
residual_gated_cnn_train_dynamic_selector,dynamic_only,duplicate,0.2500672947510094,0.05350830590563634,929,-0.010600507629874948,0.03685771551453704,0.030740116034050646,1.0,1.0,"[-0.0138179542719949, -0.0020664878954937452]","[0.03269438957204138, 0.03899617711962079]","[0.029240227716774644, 0.03227414322516189]","[1.0, 1.0]","[1.0, 1.0]"
shuffled_target_hgb_train_dynamic_selector,dynamic_only,duplicate,1.0,248.37211213223742,3715,44.892699728179764,63.61040176588168,75.94739747769091,0.0,0.0,"[35.773295135640154, 48.170077314875236]","[52.26461979589516, 68.31518783460163]","[65.51769910074337, 79.48834768764694]","[0.0, 0.0]","[0.0, 0.0]"
shuffled_target_hgb_train_dynamic_selector,dynamic_only,duplicate,0.7499327052489906,76.45346000636319,2786,35.64880850578461,45.77701101402231,41.07719880420213,0.0,0.0,"[29.675970487342752, 38.3651727793404]","[39.81978589089221, 47.64541216616316]","[36.80521058946308, 42.97401843467818]","[0.0, 0.0]","[0.0, 0.0]"
shuffled_target_hgb_train_dynamic_selector,dynamic_only,duplicate,0.5001345895020188,44.892699728179764,1858,26.63034011657979,33.186438876255984,28.675980649533642,0.0,0.0,"[24.599990616182225, 30.615151073549015]","[31.277842070747887, 35.63128920102344]","[27.34506019134844, 31.468493163497403]","[0.0, 0.0]","[0.0, 0.0]"
shuffled_target_hgb_train_dynamic_selector,dynamic_only,duplicate,0.2500672947510094,26.605687700449224,929,18.399726907614973,21.059924756932215,18.406379336582233,0.0,0.0,"[17.179005498898754, 20.161095714100792]","[19.913863467553924, 22.22158816680611]","[17.037995429679864, 19.5637986584832]","[0.0, 0.0]","[0.0, 0.0]"
