species,sample,ke_setting_MeV,n,edep_raw_median,edep_raw_p16,edep_raw_p84,edep_vis_median,birks_ratio_median,dedx_median,path_mm_median,n_scint_median,arrival_median,pe_median,pe_p16,pe_p84,pe_per_MeV_median,adc_median,stopped_frac
pi-,A,60.0,4000,6.367749581353535,5.899886082710175,6.988135439324343,6.119769777459017,0.962690487685716,0.28513697972368257,20.14014895681587,61187.5,243.0,73.0,56.0,97.0,11.372175196712007,3676.0,0.0235
pi-,A,100.0,4000,5.018858264834044,4.598547962583432,5.772368136282138,4.8559000371413275,0.9691236126829974,0.22283904187600906,20.138381162161693,48575.0,196.0,59.0,44.0,80.0,11.510693290281505,3010.0,0.038
pi-,A,200.0,4000,4.1263733831397715,3.7271809065860833,5.02298575629132,3.998597596569392,0.9734094524106931,0.18124882015534682,20.136372935170165,40038.0,163.0,49.0,36.0,69.0,11.482007243147407,2553.5,0.04875
pi-,A,400.0,4000,3.780376471472681,3.4117591226940815,4.6319939091983064,3.675514854219109,0.9751192041426036,0.16601865252269687,20.13771427713573,36762.0,151.0,46.0,34.0,64.0,11.60933847854004,2351.0,0.023
pi-,B,30.0,1000,10.504061038434493,10.003375099384982,11.168829235526857,9.874175707981998,0.9411508841716217,0.48625431258214,20.02013214318621,98811.0,388.0,117.0,104.84,130.0,11.083758850499677,3895.0,0.02
pi-,B,60.0,1000,6.351540792361405,5.9211915220444755,6.953213095469245,6.110006623061164,0.9626372868743907,0.2860206649538091,20.004849085082576,61162.0,241.0,73.0,63.0,83.0,11.364512761663583,3614.0,0.011
pi-,B,100.0,1000,5.0071525526551,4.620551238529152,5.731555352172839,4.835764500464304,0.969270441950844,0.22290287609061002,20.001913231229082,48334.0,192.0,59.0,49.0,69.0,11.474365863277459,2922.5,0.04
pi-,B,200.0,1000,4.076667315000888,3.7183900559774163,4.844909531865981,3.964760905817273,0.9735483380862849,0.1812091035292821,20.000617733865923,39619.5,158.0,48.0,40.0,59.0,11.510338219262035,2444.5,0.039
pi-,B,400.0,1000,3.7574183816125326,3.401322311612404,4.625733373948449,3.6572431703387336,0.9751402188407843,0.16590574291653687,20.000176367824707,36569.5,146.0,44.0,37.0,56.0,11.410943820251017,2285.0,0.021
proton,A,5.0,4000,4.992569487347021,4.989439004488764,4.994464642381863,1.69023444292718,0.33859540600866667,14.524113134513017,0.34363994065670667,16905.5,65.0,20.0,14.0,27.0,4.004646629291624,1077.5,1.0
proton,A,8.0,4000,7.995103655215387,7.992593037605922,7.996580131496146,3.309391931837195,0.4139519876174851,10.146640389443526,0.7878070222625491,33103.0,127.0,39.0,29.0,50.0,4.8765704253091915,2011.0,1.0
proton,A,12.0,4000,11.996676973270027,11.99469548481277,11.997782025932386,5.801014480140029,0.48355690334110685,7.381971230038413,1.6246951334643502,58011.0,224.0,68.0,53.0,88.0,5.667780902075496,3406.0,0.9995
proton,A,18.0,4000,17.9977154366077,17.996218663233805,17.998548296549757,9.985385640479599,0.5548321705873775,5.337985633576702,3.3703852329577435,99852.0,384.0,117.0,92.0,150.0,6.500496835542325,3895.0,0.9995
