method,run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
raw_pair_median,65,B2-B4,B2-B8,805.0751309841437,True,True
raw_pair_median,65,B2-B4,B4-B6,0.9830814824573387,True,False
raw_pair_median,65,B2-B4,B4-B8,-1.7305545330782817,True,False
raw_pair_median,65,B2-B4,B6-B8,6.75182047964492,True,False
raw_pair_median,65,B2-B6,B2-B8,548.9689315144473,True,True
raw_pair_median,65,B2-B6,B4-B6,4.215486437358087,True,False
raw_pair_median,65,B2-B6,B4-B8,3.680176328870444,True,False
raw_pair_median,65,B2-B6,B6-B8,4.743529586388739,True,False
raw_pair_median,65,B2-B8,B4-B6,-3.3436050858280173,True,False
raw_pair_median,65,B2-B8,B4-B8,1.1702286821865033,True,False
raw_pair_median,65,B2-B8,B6-B8,6.7459002801327355,True,False
raw_pair_median,65,B4-B6,B4-B8,1.44175538508329,False,False
raw_pair_median,65,B4-B6,B6-B8,-1.0050107141321654,False,False
raw_pair_median,65,B4-B8,B6-B8,1.1361376692786185,False,False
traditional_saturation_ridge,44,B2-B4,B2-B6,226.59798835774927,True,True
traditional_saturation_ridge,44,B2-B4,B2-B8,577.2555841476933,True,True
traditional_saturation_ridge,44,B2-B4,B4-B6,-54.93699801403693,True,False
traditional_saturation_ridge,44,B2-B4,B4-B8,-149.1262151578917,True,False
traditional_saturation_ridge,44,B2-B4,B6-B8,-77.54465206621825,True,False
traditional_saturation_ridge,44,B2-B6,B2-B8,543.4299161296514,True,True
traditional_saturation_ridge,44,B2-B6,B4-B6,-15.578430728694185,True,False
traditional_saturation_ridge,44,B2-B6,B4-B8,-92.74940205185307,True,False
traditional_saturation_ridge,44,B2-B6,B6-B8,-76.48286644020345,True,False
traditional_saturation_ridge,44,B2-B8,B4-B6,-111.60953918843165,True,False
traditional_saturation_ridge,44,B2-B8,B4-B8,-73.96975699749747,True,False
traditional_saturation_ridge,44,B2-B8,B6-B8,-64.0943403173479,True,False
traditional_saturation_ridge,44,B4-B6,B4-B8,50.56149310790742,False,False
traditional_saturation_ridge,44,B4-B6,B6-B8,19.994695445681327,False,False
traditional_saturation_ridge,44,B4-B8,B6-B8,24.36215425751512,False,False
traditional_saturation_ridge,45,B2-B4,B2-B6,397.47260408265754,True,True
traditional_saturation_ridge,45,B2-B4,B2-B8,530.6521291936629,True,True
traditional_saturation_ridge,45,B2-B4,B4-B6,-45.72256180815756,True,False
traditional_saturation_ridge,45,B2-B4,B4-B8,-101.24304690726639,True,False
traditional_saturation_ridge,45,B2-B4,B6-B8,-103.6752063772774,True,False
traditional_saturation_ridge,45,B2-B6,B2-B8,547.5447523086907,True,True
traditional_saturation_ridge,45,B2-B6,B4-B6,-13.81049482917416,True,False
traditional_saturation_ridge,45,B2-B6,B4-B8,-96.87167630359922,True,False
traditional_saturation_ridge,45,B2-B6,B6-B8,-101.8397871281491,True,False
traditional_saturation_ridge,45,B2-B8,B4-B6,-27.87823751614122,True,False
traditional_saturation_ridge,45,B2-B8,B4-B8,-6.1120230517611365,True,False
