method,heldout_run,n,q_template_mse,tail_mse,live10_abs_error_ns,live20_abs_error_ns,tau_eff_abs_error_ns,timing_abs_error_ns,secondary_abs_error,timing_sigma68_ns
control_gated_cnn_gbt_ensemble,60,710,0.14386198995108535,0.1896318913441258,21.379800853485065,21.294452347083926,9.285129534858998,0.705040807102059,0.040792713267837066,0.7241559322564871
control_gated_cnn_gbt_ensemble,61,675,0.10911070530487829,0.15117735132052582,19.684684684684683,19.294294294294293,8.54894993656401,0.6604205962035393,0.04146507892381494,0.7133867872523713
control_gated_cnn_gbt_ensemble,62,670,0.10949096933442141,0.16437351101241265,18.250377073906485,18.582202111613878,7.926038055851203,0.6657254271952189,0.040499216870807146,0.6679989193758391
control_gated_cnn_gbt_ensemble,63,648,0.09735907507719528,0.1247684200705029,18.20872274143302,18.5202492211838,7.907947809110613,0.6120950382922239,0.040597115566034986,0.6716984526098911
control_gated_cnn_gbt_ensemble,65,584,0.13616974792243106,0.1971404741291201,24.265975820379964,24.386873920552677,10.538579396788752,0.7947593407433531,0.04926743015664061,0.717429387421412
gradient_boosted_trees_tail_surrogate,44,374,0.10784019960021898,0.160358408791171,23.259668508287294,27.955801104972377,10.101545684048013,0.6754507621827324,0.0531398423492155,0.2635319454228084
gradient_boosted_trees_tail_surrogate,45,624,0.1239889028612835,0.19766624640404504,30.619902120717782,34.51876019575857,13.29805452744541,0.729715321577525,0.0643592357084105,0.5464557216779984
gradient_boosted_trees_tail_surrogate,46,227,0.019793994928136837,0.02787862225239627,9.730941704035875,16.681614349775785,4.226094285785005,0.45215618345640474,0.03148848315433649,0.27230643663512344
gradient_boosted_trees_tail_surrogate,47,379,0.060499005700730656,0.08869017296415764,17.786666666666665,24.16,7.724651184785837,0.56591902646465,0.04480379249017835,0.27789067268943096
gradient_boosted_trees_tail_surrogate,48,594,0.117820377012641,0.21091290646351096,29.76027397260274,33.73287671232877,12.924722766230335,0.6952788112631924,0.06581725945955845,0.37859931809550956
gradient_boosted_trees_tail_surrogate,49,589,0.13476642389528068,0.21118426802685714,28.01047120418848,33.00174520069808,12.16479307948899,0.6599138480358857,0.059157001862236366,0.3101561056539872
gradient_boosted_trees_tail_surrogate,50,602,0.10540979127535799,0.20205280180223253,31.501706484641637,35.59726962457338,13.681017296815748,0.6778206630076508,0.06858964484594034,0.4681358122431595
gradient_boosted_trees_tail_surrogate,51,527,0.10503038124872113,0.1809965531422798,30.935672514619885,34.42495126705653,13.435191867065509,0.7151114873124099,0.06522110859009111,0.511315283967126
gradient_boosted_trees_tail_surrogate,52,447,0.07771544891538662,0.15918136366641433,25.668202764976957,30.11520737327189,11.147558821203281,0.6180609708274377,0.05587751015116806,0.2971517301264311
gradient_boosted_trees_tail_surrogate,53,594,0.14218220341980983,0.27114612111580405,33.95509499136442,37.962003454231436,14.74651038725031,0.8004881698114645,0.0682883282113803,0.5465067258082192
