run,event_index,eventno,evt,group,depth_idx,multiplicity
31,584,391974,5461,sample_i_calib,0,1
31,588,391978,5465,sample_i_calib,0,1
31,589,391979,5466,sample_i_calib,0,1
31,590,391980,5467,sample_i_calib,0,1
31,592,391982,5469,sample_i_calib,0,1
31,593,391983,5470,sample_i_calib,0,1
31,595,391985,5472,sample_i_calib,0,1
31,596,391986,5473,sample_i_calib,0,1
31,597,391987,5474,sample_i_calib,0,1
31,598,391988,5475,sample_i_calib,0,1
31,599,391989,5476,sample_i_calib,0,1
31,600,391990,5477,sample_i_calib,0,1
31,601,391991,5478,sample_i_calib,0,1
31,603,391993,5480,sample_i_calib,0,1
31,605,391995,5482,sample_i_calib,0,1
31,606,391996,5483,sample_i_calib,0,1
31,608,391998,5484,sample_i_calib,0,1
31,609,391999,5485,sample_i_calib,0,1
31,610,392000,5486,sample_i_calib,0,1
31,611,392001,5487,sample_i_calib,0,1
31,612,392002,5488,sample_i_calib,0,1
31,616,392006,5492,sample_i_calib,0,1
31,617,392007,5493,sample_i_calib,0,1
31,618,392008,5494,sample_i_calib,0,1
31,619,392009,5495,sample_i_calib,0,1
31,620,392010,5495,sample_i_calib,0,1
31,622,392012,5497,sample_i_calib,0,1
31,626,392016,5501,sample_i_calib,0,1
31,627,392017,5501,sample_i_calib,0,1
31,628,392018,5502,sample_i_calib,0,1
31,630,392020,5504,sample_i_calib,0,1
31,631,392021,5505,sample_i_calib,0,1
31,633,392023,5507,sample_i_calib,2,3
31,636,392026,5510,sample_i_calib,0,1
31,642,392032,5515,sample_i_calib,0,1
31,643,392033,5516,sample_i_calib,0,1
31,644,392034,5516,sample_i_calib,0,1
31,645,392035,5517,sample_i_calib,0,1
31,647,392037,5519,sample_i_calib,0,1
31,650,392040,5522,sample_i_calib,0,1
31,652,392042,5524,sample_i_calib,0,1
31,653,392043,5524,sample_i_calib,0,1
31,654,392044,5525,sample_i_calib,0,1
31,655,392045,5526,sample_i_calib,0,1
31,660,392050,5530,sample_i_calib,0,1
31,661,392051,5530,sample_i_calib,0,1
31,662,392052,5531,sample_i_calib,0,1
31,664,392054,5532,sample_i_calib,0,1
31,667,392057,5535,sample_i_calib,0,1
31,668,392058,5536,sample_i_calib,0,1
31,669,392059,5537,sample_i_calib,0,1
31,670,392060,5538,sample_i_calib,0,1
31,671,392061,5539,sample_i_calib,0,1
