alpha,fold,sigma68_ns,heldout_run,model,candidate,n_features
0.01,2,1.4665238051061074,64,S03 analytic timewalk,amp_rise_shape,14.0
0.01,-1,1.542977412412425,64,S03 analytic timewalk,amp_rise_shape,14.0
0.1,0,1.7318241113795192,64,S03 analytic timewalk,amp_rise_shape,14.0
0.1,1,1.4332427933083727,64,S03 analytic timewalk,amp_rise_shape,14.0
0.1,2,1.4729542449570494,64,S03 analytic timewalk,amp_rise_shape,14.0
0.1,-1,1.5460070498816474,64,S03 analytic timewalk,amp_rise_shape,14.0
1.0,0,1.7458517277012624,64,S03 analytic timewalk,amp_rise_shape,14.0
1.0,1,1.4437087316328125,64,S03 analytic timewalk,amp_rise_shape,14.0
1.0,2,1.4960614157497827,64,S03 analytic timewalk,amp_rise_shape,14.0
1.0,-1,1.5618739583612857,64,S03 analytic timewalk,amp_rise_shape,14.0
10.0,0,1.7625352972644623,64,S03 analytic timewalk,amp_rise_shape,14.0
10.0,1,1.4461886039081047,64,S03 analytic timewalk,amp_rise_shape,14.0
10.0,2,1.5097233454780192,64,S03 analytic timewalk,amp_rise_shape,14.0
10.0,-1,1.5728157488835286,64,S03 analytic timewalk,amp_rise_shape,14.0
100.0,0,1.745465279790507,64,S03 analytic timewalk,amp_rise_shape,14.0
100.0,1,1.4376421974947815,64,S03 analytic timewalk,amp_rise_shape,14.0
100.0,2,1.501623981006823,64,S03 analytic timewalk,amp_rise_shape,14.0
100.0,-1,1.561577152764037,64,S03 analytic timewalk,amp_rise_shape,14.0
0.0,0,1.8614684278323361,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,1,1.4009079827487954,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,2,1.471435751787623,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,-1,1.5779373874562515,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,0,1.8479679678248582,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,1,1.394821147214939,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,2,1.4812398795498547,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,-1,1.574676331529884,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,0,1.8586781524008207,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,1,1.3999310134790017,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,2,1.4888796624827314,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,-1,1.5824962761208514,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,0,1.830970339542991,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,1,1.3787182823111166,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,2,1.4838482274972198,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,-1,1.564512283117109,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,0,1.7914205967966859,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,1,1.3664668724318911,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,2,1.4715517046043938,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,-1,1.5431463912776568,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,0,1.7493123517153768,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,1,1.3782676475427613,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,2,1.4808775546108532,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,-1,1.5361525179563305,64,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,0,2.1498622831712133,65,S02 ML ridge,,
0.01,1,1.9570465379888582,65,S02 ML ridge,,
0.01,2,1.9608660121666666,65,S02 ML ridge,,
0.01,-1,2.0225916111089126,65,S02 ML ridge,,
0.1,0,2.1491667474419005,65,S02 ML ridge,,
0.1,1,1.9573154036992433,65,S02 ML ridge,,
0.1,2,1.9609665253640391,65,S02 ML ridge,,
0.1,-1,2.0224828921683944,65,S02 ML ridge,,
1.0,0,2.1407322243488807,65,S02 ML ridge,,
1.0,1,1.9536811365382878,65,S02 ML ridge,,
1.0,2,1.960863713515514,65,S02 ML ridge,,
1.0,-1,2.0184256914675607,65,S02 ML ridge,,
10.0,0,2.113942420960594,65,S02 ML ridge,,
10.0,1,1.932025500716938,65,S02 ML ridge,,
10.0,2,1.9685460956616312,65,S02 ML ridge,,
10.0,-1,2.004838005779721,65,S02 ML ridge,,
100.0,0,2.100504209074739,65,S02 ML ridge,,
100.0,1,1.8972044141952338,65,S02 ML ridge,,
100.0,2,1.9498100649021477,65,S02 ML ridge,,
100.0,-1,1.982506229390707,65,S02 ML ridge,,
0.0,0,1.6963433366053486,65,S03 analytic timewalk,amp_only,6.0
0.0,1,1.4140153196050131,65,S03 analytic timewalk,amp_only,6.0
0.0,2,1.4145981041284572,65,S03 analytic timewalk,amp_only,6.0
0.0,-1,1.5083189201129397,65,S03 analytic timewalk,amp_only,6.0
0.01,0,1.6983894944751583,65,S03 analytic timewalk,amp_only,6.0
0.01,1,1.4135590026329385,65,S03 analytic timewalk,amp_only,6.0
0.01,2,1.415620431364691,65,S03 analytic timewalk,amp_only,6.0
0.01,-1,1.5091896428242626,65,S03 analytic timewalk,amp_only,6.0
0.1,0,1.7127848009611562,65,S03 analytic timewalk,amp_only,6.0
0.1,1,1.4128685227903588,65,S03 analytic timewalk,amp_only,6.0
0.1,2,1.4206790213946214,65,S03 analytic timewalk,amp_only,6.0
0.1,-1,1.5154441150487123,65,S03 analytic timewalk,amp_only,6.0
1.0,0,1.7498864156811074,65,S03 analytic timewalk,amp_only,6.0
1.0,1,1.4198525712214416,65,S03 analytic timewalk,amp_only,6.0
1.0,2,1.436275926683331,65,S03 analytic timewalk,amp_only,6.0
1.0,-1,1.5353383045286266,65,S03 analytic timewalk,amp_only,6.0
10.0,0,1.7733880955043908,65,S03 analytic timewalk,amp_only,6.0
10.0,1,1.4255335179127773,65,S03 analytic timewalk,amp_only,6.0
10.0,2,1.45168620128519,65,S03 analytic timewalk,amp_only,6.0
10.0,-1,1.550202604900786,65,S03 analytic timewalk,amp_only,6.0
100.0,0,1.728881209186106,65,S03 analytic timewalk,amp_only,6.0
100.0,1,1.3924795975191868,65,S03 analytic timewalk,amp_only,6.0
100.0,2,1.4161259966317428,65,S03 analytic timewalk,amp_only,6.0
100.0,-1,1.5124956011123452,65,S03 analytic timewalk,amp_only,6.0
0.0,0,1.7332283414617677,65,S03 analytic timewalk,amp_rise_shape,14.0
0.0,1,1.426936170863721,65,S03 analytic timewalk,amp_rise_shape,14.0
0.0,2,1.4482282855260709,65,S03 analytic timewalk,amp_rise_shape,14.0
0.0,-1,1.5361309326171864,65,S03 analytic timewalk,amp_rise_shape,14.0
0.01,0,1.7327854762839365,65,S03 analytic timewalk,amp_rise_shape,14.0
0.01,1,1.42615374617841,65,S03 analytic timewalk,amp_rise_shape,14.0
0.01,2,1.44807842815717,65,S03 analytic timewalk,amp_rise_shape,14.0
0.01,-1,1.5356725502065054,65,S03 analytic timewalk,amp_rise_shape,14.0
0.1,0,1.7336861348400667,65,S03 analytic timewalk,amp_rise_shape,14.0
0.1,1,1.4311205683096755,65,S03 analytic timewalk,amp_rise_shape,14.0
0.1,2,1.4483750839778566,65,S03 analytic timewalk,amp_rise_shape,14.0
0.1,-1,1.5377272623758664,65,S03 analytic timewalk,amp_rise_shape,14.0
1.0,0,1.759905597983657,65,S03 analytic timewalk,amp_rise_shape,14.0
1.0,1,1.4401802064865559,65,S03 analytic timewalk,amp_rise_shape,14.0
1.0,2,1.4695611577761531,65,S03 analytic timewalk,amp_rise_shape,14.0
1.0,-1,1.5565489874154554,65,S03 analytic timewalk,amp_rise_shape,14.0
10.0,0,1.7714604840759627,65,S03 analytic timewalk,amp_rise_shape,14.0
10.0,1,1.446985252831212,65,S03 analytic timewalk,amp_rise_shape,14.0
10.0,2,1.4829752882337928,65,S03 analytic timewalk,amp_rise_shape,14.0
10.0,-1,1.5671403417136558,65,S03 analytic timewalk,amp_rise_shape,14.0
100.0,0,1.7557805285910604,65,S03 analytic timewalk,amp_rise_shape,14.0
100.0,1,1.4339199926225832,65,S03 analytic timewalk,amp_rise_shape,14.0
100.0,2,1.4735851816680097,65,S03 analytic timewalk,amp_rise_shape,14.0
100.0,-1,1.5544285676272178,65,S03 analytic timewalk,amp_rise_shape,14.0
0.0,0,1.8702896813283623,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,1,1.403465708378333,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,2,1.4524002778283145,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,-1,1.57538522251167,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,0,1.8729832727370663,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,1,1.395330911454094,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,2,1.4607407751715862,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,-1,1.5763516531209154,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,0,1.874658000750717,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,1,1.3988509347988114,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,2,1.4662812966351488,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,-1,1.5799300773948923,65,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
