rep,traditional_res68,ml_res68,ml_minus_traditional_res68,traditional_depth_violation_rate,ml_depth_violation_rate
80,0.020315930948382695,0.024297118230755817,0.003981187282373122,0.0,0.0
81,0.01923495535812715,0.023464867168371525,0.0042299118102443745,0.0,0.0
82,0.02279630374225069,0.029036828856685928,0.006240525114435239,0.0,0.0
83,0.021441298588091916,0.02660031148532026,0.005159012897228345,0.0,0.0
84,0.02079182789197289,0.025220304049479503,0.0044284761575066126,0.0,0.0
85,0.01929369178457529,0.02407090022403306,0.00477720843945777,0.0,0.0
86,0.02156002908076035,0.027459323413650056,0.005899294332889705,0.0,0.0
87,0.021260919914396083,0.02866680284104582,0.007405882926649739,0.0,0.0
88,0.02008963478194104,0.023745637758060517,0.003656002976119479,0.0,0.0
89,0.021485739423706168,0.02812155087005121,0.006635811446345043,0.0,0.0
90,0.02086362766087363,0.028187867731669477,0.007324240070795848,0.0,0.0
91,0.021335732048665762,0.024765787335975148,0.003430055287309386,0.0,0.0
92,0.019939896328470826,0.024979187442955707,0.005039291114484881,0.0,0.0
93,0.020228261969925408,0.025521613973786564,0.005293352003861156,0.0,0.0
94,0.021210550094470842,0.026904964790404155,0.005694414695933313,0.0,0.0
95,0.021190358924460116,0.026131250426359987,0.004940891501899872,0.0,0.0
96,0.02080839677023613,0.02718143148050279,0.006373034710266658,0.0,0.0
97,0.02016432622064461,0.025522131367001797,0.005357805146357187,0.0,0.0
98,0.02017341980161627,0.024423659457915418,0.004250239656299146,0.0,0.0
99,0.02084938007969912,0.023739452724285605,0.0028900726445864854,0.0,0.0
100,0.020050310949951917,0.024097094834084787,0.004046783884132869,0.0,0.0
101,0.0212011478644795,0.027310770450255904,0.006109622585776405,0.0,0.0
102,0.0197155542862452,0.02501843475262719,0.005302880466381988,0.0,0.0
103,0.02150227249406591,0.0270428720706559,0.005540599576589991,0.0,0.0
104,0.019719239702245307,0.024943544465224527,0.0052243047629792205,0.0,0.0
105,0.02077063595260415,0.027838900429491407,0.0070682644768872566,0.0,0.0
106,0.01998002471927998,0.025104195641428382,0.005124170922148404,0.0,0.0
