method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,selector,stratum_train_runs,heldout_stratum
cfd10,2.0,heldout,2799,-2.4411486120889947,3.0683003496926986,6.894338554395546,0.041443372633083245,284.83416828984224,6.014619584522845,61,median_first4,59 60 62,high_rate
cfd20,2.0,train,7134,-2.914594155818248,3.1864920608341234,6.087083254558332,0.06490047659097281,256.5035791411272,13.89114010858542,61,median_first4,59 60 62,high_rate
cfd20,2.0,heldout,2799,-2.4509304544313295,2.9140833320178547,6.59865538327557,0.04858878170775277,221.27481865690828,3.5477527537742177,61,median_first4,59 60 62,high_rate
cfd30,2.0,train,7134,-2.8467842495267455,3.310342400288005,6.2689232340061105,0.09882253994953742,281.4475395042556,13.117015741617836,61,median_first4,59 60 62,high_rate
cfd30,2.0,heldout,2799,-2.289964445912908,3.0050369787378557,6.45912111840082,0.06823865666309396,222.16742225485945,3.3089928398545894,61,median_first4,59 60 62,high_rate
cfd40,2.0,train,7134,-2.6258413847756117,3.472781406002997,6.411085044409346,0.12447434819175777,262.065449364669,9.68889187067196,61,median_first4,59 60 62,high_rate
cfd40,2.0,heldout,2799,-1.9754947996279029,3.1386247745618814,6.3804191778651465,0.09396212933190425,229.1585275650671,2.5722014092374734,61,median_first4,59 60 62,high_rate
cfd50,2.0,train,7134,-2.341082633121731,3.681702877493871,6.9941592954274165,0.15517241379310345,1.3762611714699389,6.3117202280137406,61,median_first4,59 60 62,high_rate
cfd50,2.0,heldout,2799,-1.6418683241891827,3.299647906643221,6.55035565826186,0.1157556270096463,193.7539193736445,2.1445458618463786,61,median_first4,59 60 62,high_rate
template_phase,2.0,train,7134,-3.920332282952124,2.8522642819654997,3.2889908407091766,0.08508550602747407,1.3379484973225058,79.81918571043899,61,median_first4,59 60 62,high_rate
template_phase,2.0,heldout,2799,-2.7045285639309853,2.7443624224549232,3.206387652909349,0.04001429081814934,1.5671732162074294,35.13053724734823,61,median_first4,59 60 62,high_rate
of_1_9,2.0,train,7134,-3.513698742522081,3.3956326116201856,3.83432456366504,0.16302214746285393,211.55744526610923,11.70932130332197,61,median_first4,59 60 62,high_rate
of_1_9,2.0,heldout,2799,-2.9286399016997535,3.220170534731764,3.7852642842632287,0.14540907466952482,4.657491244130676,3.035585148792478,61,median_first4,59 60 62,high_rate
of_2_10,2.0,train,7134,-3.61243992939675,3.4436666721349614,3.8785241112367035,0.16736753574432295,128.64941701419568,10.067331168006987,61,median_first4,59 60 62,high_rate
of_2_10,2.0,heldout,2799,-2.955296269214294,3.3264234149418175,3.872867153059754,0.1532690246516613,3.7601074457917503,2.6588381218507555,61,median_first4,59 60 62,high_rate
