method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,candidate,alpha,fold,n_features
,,,0,,1.6104541072070757,,,,,59,analytic_cv,amp_rise_shape,1.0,-1.0,14.0
,,,2799,,2.0850290234538678,,,,,59,analytic_cv,amp_rise_shape,10.0,0.0,14.0
,,,2841,,1.3254893307237117,,,,,59,analytic_cv,amp_rise_shape,10.0,1.0,14.0
,,,3531,,1.4523249638163689,,,,,59,analytic_cv,amp_rise_shape,10.0,2.0,14.0
,,,0,,1.6209477726646495,,,,,59,analytic_cv,amp_rise_shape,10.0,-1.0,14.0
,,,2799,,2.0490392646630733,,,,,59,analytic_cv,amp_rise_shape,100.0,0.0,14.0
,,,2841,,1.289915509573305,,,,,59,analytic_cv,amp_rise_shape,100.0,1.0,14.0
,,,3531,,1.4269084938077208,,,,,59,analytic_cv,amp_rise_shape,100.0,2.0,14.0
,,,0,,1.588621089348033,,,,,59,analytic_cv,amp_rise_shape,100.0,-1.0,14.0
,,,2799,,2.2529701204674772,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.0,0.0,47.0
,,,2841,,1.4863181399836505,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.0,1.0,47.0
,,,3531,,1.4786578714332823,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.0,2.0,47.0
,,,0,,1.7393153772948031,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.0,-1.0,47.0
,,,2799,,2.27104854592709,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.01,0.0,47.0
,,,2841,,1.5213966147091647,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.01,1.0,47.0
,,,3531,,1.5082157346604808,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.01,2.0,47.0
,,,0,,1.7668869650989116,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.01,-1.0,47.0
,,,2799,,2.261125101292067,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.1,0.0,47.0
,,,2841,,1.5136671853985104,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.1,1.0,47.0
,,,3531,,1.5138510067509316,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.1,2.0,47.0
,,,0,,1.7628810978138365,,,,,59,analytic_cv,amp_rise_shape_by_stave,0.1,-1.0,47.0
,,,2799,,2.2566533494498975,,,,,59,analytic_cv,amp_rise_shape_by_stave,1.0,0.0,47.0
,,,2841,,1.4593099924637967,,,,,59,analytic_cv,amp_rise_shape_by_stave,1.0,1.0,47.0
,,,3531,,1.4942706227417686,,,,,59,analytic_cv,amp_rise_shape_by_stave,1.0,2.0,47.0
,,,0,,1.7367446548851542,,,,,59,analytic_cv,amp_rise_shape_by_stave,1.0,-1.0,47.0
,,,2799,,2.241634661627992,,,,,59,analytic_cv,amp_rise_shape_by_stave,10.0,0.0,47.0
,,,2841,,1.395222460251081,,,,,59,analytic_cv,amp_rise_shape_by_stave,10.0,1.0,47.0
,,,3531,,1.4769004859708375,,,,,59,analytic_cv,amp_rise_shape_by_stave,10.0,2.0,47.0
,,,0,,1.7045858692833036,,,,,59,analytic_cv,amp_rise_shape_by_stave,10.0,-1.0,47.0
,,,2799,,2.201303256593634,,,,,59,analytic_cv,amp_rise_shape_by_stave,100.0,0.0,47.0
,,,2841,,1.376946890807037,,,,,59,analytic_cv,amp_rise_shape_by_stave,100.0,1.0,47.0
,,,3531,,1.498247012087271,,,,,59,analytic_cv,amp_rise_shape_by_stave,100.0,2.0,47.0
,,,0,,1.6921657198293139,,,,,59,analytic_cv,amp_rise_shape_by_stave,100.0,-1.0,47.0
le500,2.0,train,9036,-1.2347271120344985,4.2150031017980325,6.565521139230693,0.21602478972996902,218.1201389287571,1.3723161307116634,60,traditional_scan,,,,
le500,2.0,heldout,2424,-1.752144972076458,3.983702456246327,7.9065441157033645,0.19884488448844884,208.70361570446178,1.1228800684844102,60,traditional_scan,,,,
cfd10,2.0,train,9036,-2.6824731798059283,3.2405893821848135,6.589843979310098,0.04659141212926073,264.55739847426753,17.611917664492708,60,traditional_scan,,,,
cfd10,2.0,heldout,2424,-2.8467103131570575,3.2085017307935164,7.495046830248049,0.04372937293729373,287.4678521464896,5.789632774698061,60,traditional_scan,,,,
cfd20,2.0,train,9036,-2.7940363497892413,3.148561278661922,5.886958944878372,0.05754758742806552,299.2380100153876,13.999474512531261,60,traditional_scan,,,,
cfd20,2.0,heldout,2424,-2.8184186273716314,3.138618995026782,7.2620101671075705,0.0594059405940594,304.07450481318807,4.948351630043332,60,traditional_scan,,,,
cfd30,2.0,train,9036,-2.680626271895097,3.239425484498436,5.965273586414804,0.08897742363877822,277.2298911009398,12.845932228524331,60,traditional_scan,,,,
cfd30,2.0,heldout,2424,-2.783180425804723,3.2877541313475347,7.346525599999202,0.09570957095709572,280.50129998719297,4.674486946598311,60,traditional_scan,,,,
cfd40,2.0,train,9036,-2.444576289014332,3.402959166194231,6.046047433709117,0.11310314298362108,211.55871797716773,9.385540103867962,60,traditional_scan,,,,
