split,method,run,group,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_5pct,within_10pct
holdout_sample_ii_analysis,ml_extra_trees,63,sample_ii_analysis,18814,-2.1890225061252184e-06,0.0034219920192061506,0.044603204272451326,0.9322313171042841,0.9724673115764856
holdout_sample_ii_analysis,ml_extra_trees,65,sample_ii_analysis,13038,-4.94095869006384e-05,0.0024449530490141115,0.03799781583589817,0.9541340696425832,0.9810553765915018
holdout_sample_ii_analysis,shuffled_target_ml,58,sample_ii_analysis,16780,0.2430460581617954,0.5213072198179414,1.2714102762388253,0.07365911799761621,0.14767580452920143
holdout_sample_ii_analysis,shuffled_target_ml,59,sample_ii_analysis,21374,0.6777042936244471,1.1472374485216423,2.933321847883028,0.03789650977823524,0.07429587349115747
holdout_sample_ii_analysis,shuffled_target_ml,60,sample_ii_analysis,17021,0.5813897030837325,0.955466640585486,3.138981166510761,0.04435697080077551,0.08677516009635157
holdout_sample_ii_analysis,shuffled_target_ml,61,sample_ii_analysis,18963,0.61188900429807,0.9904299346249887,3.039560008180682,0.04081632653061224,0.07973421926910298
holdout_sample_ii_analysis,shuffled_target_ml,62,sample_ii_analysis,19088,0.6447434537658352,1.0796298987443578,3.0456601814620443,0.03567686504610226,0.07481139983235541
holdout_sample_ii_analysis,shuffled_target_ml,63,sample_ii_analysis,18814,0.5683146801404708,1.0057054765125357,2.4589832311292654,0.03906665249282449,0.08121611565855215
holdout_sample_ii_analysis,shuffled_target_ml,65,sample_ii_analysis,13038,0.6599066434845056,1.312882795774961,2.3531062657922055,0.051618346372142965,0.09855806105230863
train_B4_B6_B8_holdout_B2,traditional_huber,31,sample_i_calib,26930,-0.127175120072769,0.15958427800950176,0.28967294997458426,0.15566282955811364,0.3108800594132937
train_B4_B6_B8_holdout_B2,traditional_huber,32,sample_i_calib,27302,-0.12553946049391274,0.1579536748117596,0.2762417840177846,0.16566551900959636,0.3254340341366933
train_B4_B6_B8_holdout_B2,traditional_huber,33,sample_i_calib,47720,-0.10682963059049555,0.1289361120557931,0.16436432536995285,0.1397736797988265,0.4456831517183571
train_B4_B6_B8_holdout_B2,traditional_huber,34,sample_i_calib,33371,-0.11761242438261976,0.13859083972292424,0.14396043739925454,0.09049773755656108,0.3690329927182284
train_B4_B6_B8_holdout_B2,traditional_huber,35,sample_i_calib,11019,-0.07570700508842067,0.12233970021749153,0.3184880641245019,0.34921499228605135,0.5514111988383701
train_B4_B6_B8_holdout_B2,traditional_huber,36,sample_i_calib,9841,-0.09282419786983608,0.1338406573813736,0.3433324051870234,0.30027436236154864,0.48643430545676253
train_B4_B6_B8_holdout_B2,traditional_huber,37,sample_i_calib,22927,-0.08157298546061009,0.13457591329151483,0.3851672226513842,0.33637196318750817,0.5100536485366598
train_B4_B6_B8_holdout_B2,traditional_huber,39,sample_i_calib,13157,-0.07103570211702233,0.12842867223236692,0.45869973095837635,0.3613285703427833,0.5450330622482329
train_B4_B6_B8_holdout_B2,traditional_huber,40,sample_i_calib,13565,-0.06228266798905397,0.12398014781961914,0.40583917357971466,0.39034279395503135,0.570217471433837
train_B4_B6_B8_holdout_B2,traditional_huber,41,sample_i_calib,14949,-0.06882169372865737,0.12855722981095294,0.41318560982659425,0.3711953976854639,0.5512074386246572
train_B4_B6_B8_holdout_B2,traditional_huber,42,sample_i_calib,16963,-0.0952312723829021,0.14400540480741644,0.35131126954089903,0.3064905971821022,0.46613217001709606
train_B4_B6_B8_holdout_B2,traditional_huber,44,sample_i_analysis,1883,-0.07159885851362068,0.1271036378739429,0.4648037661108861,0.36537440254912373,0.5427509293680297
train_B4_B6_B8_holdout_B2,traditional_huber,45,sample_i_analysis,22768,-0.08565523791604306,0.13917010118923853,0.44657014164664727,0.3269501054111033,0.495695713281799
train_B4_B6_B8_holdout_B2,traditional_huber,46,sample_i_analysis,674,-0.11044408217495039,0.13659534707351337,0.20192635375225207,0.2062314540059347,0.4198813056379822
train_B4_B6_B8_holdout_B2,traditional_huber,47,sample_i_analysis,5115,-0.113001798499874,0.14122685378935337,0.2598410860774683,0.18826979472140762,0.39745845552297165
train_B4_B6_B8_holdout_B2,traditional_huber,48,sample_i_analysis,13031,-0.061660957951669405,0.12310403504790357,0.38038995613235016,0.3947509784360371,0.5763947509784361
train_B4_B6_B8_holdout_B2,traditional_huber,49,sample_i_analysis,13759,-0.06507036493082892,0.12456003990672974,0.388068718252252,0.3819318264408751,0.568645977178574
train_B4_B6_B8_holdout_B2,traditional_huber,50,sample_i_analysis,34083,-0.13444935629021598,0.16113074718512954,0.20709930312330696,0.07502273860869055,0.253058709620632
train_B4_B6_B8_holdout_B2,traditional_huber,51,sample_i_analysis,14198,-0.12937748721933898,0.1582322011864406,0.28495641692624324,0.12987744752782082,0.30539512607409497
train_B4_B6_B8_holdout_B2,traditional_huber,52,sample_i_analysis,6892,-0.1303761431306268,0.15976976898880718,0.2753098924392552,0.12115496227510157,0.291642484039466
train_B4_B6_B8_holdout_B2,traditional_huber,53,sample_i_analysis,31219,-0.11877687801416095,0.14286087535351857,0.22286244916090106,0.10003523495307345,0.3551362952048432
train_B4_B6_B8_holdout_B2,traditional_huber,54,sample_i_analysis,29492,-0.11932435382478673,0.14216186639703832,0.1711019425740748,0.09633120846331208,0.3525701885257019
train_B4_B6_B8_holdout_B2,traditional_huber,55,sample_i_analysis,16730,-0.1283795120020837,0.15672080842065117,0.2766691609231458,0.12402869097429767,0.3011954572624029
train_B4_B6_B8_holdout_B2,traditional_huber,56,sample_i_analysis,38721,-0.13783507966374162,0.16513156729012046,0.21194388452264268,0.07985330957361639,0.23212210428449678
train_B4_B6_B8_holdout_B2,traditional_huber,57,sample_i_analysis,12760,-0.05946461422025808,0.12156885991330417,0.4328458164348488,0.39843260188087776,0.5829937304075236
train_B4_B6_B8_holdout_B2,traditional_huber,58,sample_ii_analysis,15790,-0.006520599228397986,0.032688827351696835,0.07144198033144714,0.7997466751108296,0.9499683343888538
train_B4_B6_B8_holdout_B2,traditional_huber,59,sample_ii_analysis,13562,-0.00016025284723592974,0.06241220273761802,0.2479559519911696,0.62387553458192,0.7711252027724524
train_B4_B6_B8_holdout_B2,traditional_huber,60,sample_ii_analysis,9865,-0.000510954526741204,0.06068572093469533,0.3181891159642018,0.6314242270653827,0.7829700963000507
train_B4_B6_B8_holdout_B2,traditional_huber,61,sample_ii_analysis,11013,0.0023961423680247253,0.05587929468912,0.29080347067382917,0.652501589031145,0.7925179333514937
train_B4_B6_B8_holdout_B2,traditional_huber,62,sample_ii_analysis,11634,0.00047428617168940464,0.0556128716216183,0.22506884658909795,0.6524840983324738,0.7968884304624377
train_B4_B6_B8_holdout_B2,traditional_huber,63,sample_ii_analysis,14564,-0.004480369605742465,0.04746092755612242,0.2051536828367431,0.6910876132930514,0.8301977478714638
train_B4_B6_B8_holdout_B2,traditional_huber,64,sample_ii_calib,11907,-0.002685563444801527,0.04219141305159559,0.1817147131893276,0.7244478038128832,0.8413538254808096
train_B4_B6_B8_holdout_B2,traditional_huber,65,sample_ii_analysis,11768,-0.0007267170288929628,0.03618642234112945,0.19564552597912394,0.7635961930659415,0.864292997960571
train_B4_B6_B8_holdout_B2,peak_loglinear,31,sample_i_calib,26930,-0.9998503945840747,0.9998683950779759,0.9997669267428446,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,32,sample_i_calib,27302,-0.9998479665526416,0.9998670361288151,0.9997584657257106,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,33,sample_i_calib,47720,-0.9998430018054792,0.9998578737919273,0.9998189423767722,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,34,sample_i_calib,33371,-0.9998538972897947,0.9998669735142856,0.9998302432470162,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,35,sample_i_calib,11019,-0.9997416354476166,0.9997976937082743,0.9996295935792227,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,36,sample_i_calib,9841,-0.9997696383321816,0.9998270345066159,0.9996581082297751,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,37,sample_i_calib,22927,-0.9997715591090806,0.9998290843705195,0.9996433302205814,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,39,sample_i_calib,13157,-0.9997565132700268,0.999816833043319,0.9996228781257592,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,40,sample_i_calib,13565,-0.9997448003062396,0.9998061549670183,0.9996159019213374,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,41,sample_i_calib,14949,-0.9997595864887606,0.999818180492742,0.9996328989454326,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,42,sample_i_calib,16963,-0.9997962717734542,0.9998485440538742,0.999671423481414,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,44,sample_i_analysis,1883,-0.9997656982193065,0.999819345213083,0.9996216198234659,0.0,0.0
