method,stratum,value,n_events,n_valid,energy_bias,energy_sigma68,saturated_energy_sigma68,saturation_knee_accuracy,saturation_knee_calibration_abs,pedestal_high_minus_low_bias,pid_auc,pid_calibration_ece,timing_residual_bias_ns,timing_residual_sigma68_ns,pileup_merge_rate,false_split_rate,coverage90,coverage90_abs_error
gradient_boosted_trees,clip_bin,hard_clip,2.0,2.0,0.003368568257517827,0.010090326529579335,0.010090326529579335,1.0,0.0,-0.02967743096935099,,0.009945885174762692,-5.213180694802291,0.7411403101096878,0.0,,1.0,0.09999999999999998
gradient_boosted_trees,clip_bin,mild_clip,7.0,7.0,-0.019023567443788025,0.05340082021963688,0.05340082021963688,1.0,0.0,0.08258265881111618,0.4,0.2624302144205988,-2.876072462115671,4.7834127536446065,0.0,,0.7142857142857143,0.18571428571428572
gradient_boosted_trees,clip_bin,unclipped,851.0,381.0,0.006482585137505869,0.0767276954860657,0.0600851583666784,0.9929494712103408,0.004700352526439484,-0.0046686223996033685,0.9946266037942757,0.4652170215922238,-0.42322343763339987,5.140771197729631,0.32779097387173395,0.22790697674418606,0.6115485564304461,0.2884514435695539
gradient_boosted_trees,morphology_state,late_tail_high,436.0,142.0,0.011076159185851262,0.06762481561491797,0.030260769841958246,0.9977064220183486,0.0022935779816513763,0.0076040960857984025,0.9944509345794392,0.4495605956547035,-1.4392393642671042,5.79897880020579,0.42245989304812837,0.13654618473895583,0.6549295774647887,0.24507042253521127
gradient_boosted_trees,morphology_state,late_tail_low,424.0,248.0,0.0020726006962511275,0.08879299116076024,0.051019691470494316,0.9882075471698113,0.007075471698113206,-0.010390993031477955,0.9929103154909606,0.47572732405690166,-0.05804075446810941,5.028482489971019,0.24279835390946503,0.35359116022099446,0.592741935483871,0.307258064516129
gradient_boosted_trees,stave,B2,215.0,86.0,-0.011331127643497078,0.11509316938654093,0.04205703338426103,0.9906976744186047,0.0,0.026209576951554445,0.9923907707412862,0.48479115395828165,-1.9743135146891655,7.448535966875437,0.4077669902912621,0.22321428571428573,0.47674418604651164,0.4232558139534884
gradient_boosted_trees,stave,B4,233.0,116.0,0.01778540383601962,0.07653680848288268,0.0,0.9828326180257511,0.017167381974248927,0.008579467577885778,1.0,0.44935027497275826,-1.8519564576377512,5.818558803964074,0.2601626016260163,0.22727272727272727,0.646551724137931,0.253448275862069
gradient_boosted_trees,stave,B6,208.0,82.0,0.00018280156278943622,0.05908512009348836,0.0014941922007801131,1.0,0.0,-0.02319228585553009,,0.44037030143260986,0.5087816859462624,3.8035043071414663,0.3888888888888889,0.16,0.6829268292682927,0.2170731707317073
gradient_boosted_trees,stave,B8,204.0,106.0,0.009159568363295963,0.06513904010187534,,1.0,0.0,0.005461183736098577,,0.47642681489172045,0.16907502522160112,4.315303484908185,0.22916666666666666,0.2962962962962963,0.6415094339622641,0.2584905660377359
gradient_boosted_trees,pid_proxy_class,inner_high_charge,29.0,27.0,-0.011470147227157668,0.0877917352709105,0.052973336252941476,0.8275862068965517,0.103448275862069,-0.02364824746052072,,0.0646959858117566,-4.63762498716318,4.4647696305501245,0.037037037037037035,0.5,0.5925925925925926,0.30740740740740746
gradient_boosted_trees,pid_proxy_class,other,831.0,363.0,0.006672033670305422,0.07558924057699473,0.0014941922007801131,0.9987966305655837,0.0012033694344163659,-0.0011297910285152984,,0.48085798880158603,-0.17830909380746718,5.102545109224798,0.3399503722084367,0.2266355140186916,0.6170798898071626,0.28292011019283747
mlp,pedestal_state,nominal,308.0,132.0,-0.010935532899726711,0.09883966539110006,0.012728240735888303,1.0,0.0,,0.9961368653421633,0.4487238785120319,-1.1951692418942494,6.666836546042582,0.37254901960784315,0.23225806451612904,0.9166666666666666,0.016666666666666607
