heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
61,timing,score_gated_cnn,no_score,,5.0,1.1235753971164506,3.772746633359426
61,timing,score_gated_cnn,plus_score,,5.0,1.1235753971164506,3.772746633359426
61,timing,score_gated_cnn,score_residualized,,5.0,1.1235753971164506,3.772746633359426
61,timing,score_gated_cnn,shuffled_score_control,,5.0,1.1235753971164506,3.772746633359426
61,charge,traditional,no_score,8661.0,,,
61,charge,traditional,plus_score,8661.0,,,
61,charge,traditional,score_residualized,8661.0,,,
61,charge,traditional,shuffled_score_control,8661.0,,,
61,charge,ridge,no_score,8661.0,,,
61,charge,ridge,plus_score,8661.0,,,
61,charge,ridge,score_residualized,8661.0,,,
61,charge,ridge,shuffled_score_control,8661.0,,,
61,charge,gradient_boosted_trees,no_score,8661.0,,,
61,charge,gradient_boosted_trees,plus_score,8661.0,,,
61,charge,gradient_boosted_trees,score_residualized,8661.0,,,
61,charge,gradient_boosted_trees,shuffled_score_control,8661.0,,,
61,charge,extra_trees,no_score,8661.0,,,
61,charge,extra_trees,plus_score,8661.0,,,
61,charge,extra_trees,score_residualized,8661.0,,,
61,charge,extra_trees,shuffled_score_control,8661.0,,,
61,pileup,traditional,no_score,8661.0,,,
61,pileup,traditional,plus_score,8661.0,,,
61,pileup,traditional,score_residualized,8661.0,,,
61,pileup,traditional,shuffled_score_control,8661.0,,,
61,pileup,ridge,no_score,8661.0,,,
61,pileup,ridge,plus_score,8661.0,,,
61,pileup,ridge,score_residualized,8661.0,,,
61,pileup,ridge,shuffled_score_control,8661.0,,,
61,pileup,gradient_boosted_trees,no_score,8661.0,,,
61,pileup,gradient_boosted_trees,plus_score,8661.0,,,
61,pileup,gradient_boosted_trees,score_residualized,8661.0,,,
61,pileup,gradient_boosted_trees,shuffled_score_control,8661.0,,,
61,pileup,extra_trees,no_score,8661.0,,,
61,pileup,extra_trees,plus_score,8661.0,,,
61,pileup,extra_trees,score_residualized,8661.0,,,
61,pileup,extra_trees,shuffled_score_control,8661.0,,,
61,pid,traditional,no_score,8661.0,,,
61,pid,traditional,plus_score,8661.0,,,
61,pid,traditional,score_residualized,8661.0,,,
61,pid,traditional,shuffled_score_control,8661.0,,,
61,pid,ridge,no_score,8661.0,,,
61,pid,ridge,plus_score,8661.0,,,
61,pid,ridge,score_residualized,8661.0,,,
61,pid,ridge,shuffled_score_control,8661.0,,,
61,pid,gradient_boosted_trees,no_score,8661.0,,,
61,pid,gradient_boosted_trees,plus_score,8661.0,,,
61,pid,gradient_boosted_trees,score_residualized,8661.0,,,
61,pid,gradient_boosted_trees,shuffled_score_control,8661.0,,,
61,pid,extra_trees,no_score,8661.0,,,
61,pid,extra_trees,plus_score,8661.0,,,
61,pid,extra_trees,score_residualized,8661.0,,,
61,pid,extra_trees,shuffled_score_control,8661.0,,,
61,energy,traditional,no_score,8661.0,,,
61,energy,traditional,plus_score,8661.0,,,
61,energy,traditional,score_residualized,8661.0,,,
61,energy,traditional,shuffled_score_control,8661.0,,,
61,energy,ridge,no_score,8661.0,,,
61,energy,ridge,plus_score,8661.0,,,
61,energy,ridge,score_residualized,8661.0,,,
61,energy,ridge,shuffled_score_control,8661.0,,,
61,energy,gradient_boosted_trees,no_score,8661.0,,,
61,energy,gradient_boosted_trees,plus_score,8661.0,,,
61,energy,gradient_boosted_trees,score_residualized,8661.0,,,
61,energy,gradient_boosted_trees,shuffled_score_control,8661.0,,,
61,energy,extra_trees,no_score,8661.0,,,
61,energy,extra_trees,plus_score,8661.0,,,
61,energy,extra_trees,score_residualized,8661.0,,,
61,energy,extra_trees,shuffled_score_control,8661.0,,,
62,timing,traditional,no_score,9039.0,,,
62,timing,traditional,plus_score,9039.0,,,
62,timing,traditional,score_residualized,9039.0,,,
62,timing,traditional,shuffled_score_control,9039.0,,,
62,timing,ridge,no_score,9039.0,,,
62,timing,ridge,plus_score,9039.0,,,
62,timing,ridge,score_residualized,9039.0,,,
62,timing,ridge,shuffled_score_control,9039.0,,,
62,timing,gradient_boosted_trees,no_score,9039.0,,,
62,timing,gradient_boosted_trees,plus_score,9039.0,,,
62,timing,gradient_boosted_trees,score_residualized,9039.0,,,
62,timing,gradient_boosted_trees,shuffled_score_control,9039.0,,,
62,timing,extra_trees,no_score,9039.0,,,
62,timing,extra_trees,plus_score,9039.0,,,
62,timing,extra_trees,score_residualized,9039.0,,,
62,timing,extra_trees,shuffled_score_control,9039.0,,,
62,timing,mlp,no_score,9039.0,,,
