run,method,family,n_target_rows,pedestal_mae_adc,pedestal_rmse_adc,pedestal_bias_adc,pedestal_q05_adc,pedestal_q95_adc,n_pair_rows,timing_sigma68_shift_ns,timing_full_rms_shift_ns,timing_tail_gt0p5_fraction,timing_tail_gt5_fraction,timing_shift_bias_ns,n_charge_rows,charge_bias_delta_adc,charge_abs_delta_adc
59,mlp,ml,85508,127.10437106275593,412.8467608658626,-21.614021768100173,-383.2714552847364,266.62152004419994,14856,0.41595342752673115,2.417955242486694,0.2670301561658589,0.03231017770597738,-0.16816812062595426,85508,-25.57082643323772,213.15860475462944
59,traditional_run_stratified,traditional,85508,184.22773614053378,605.3800676299527,-9.996416096962221,-626.8488095238088,470.3333333333336,14829,0.25502035081153906,3.5619340556877113,0.23669836131903702,0.04329354642929395,0.18453242560910238,85508,-37.18843210437566,237.80886583711467
60,traditional_mean3,traditional,68116,304.12580499931494,812.5399678976019,-1.7825113436885006e-15,-1300.4166666666663,1101.416666666667,14800,0.10228441356445109,0.9570905423971439,0.14885135135135136,0.0006756756756756757,0.03081592106577479,68116,-49.775118914792415,106.55183314737606
60,traditional_median3,traditional,68116,331.43731281930826,928.8866111781872,-49.775118914792415,-1598.0,1006.0,14800,0.06467940646579791,0.9537333633140875,0.1358108108108108,0.0012162162162162162,0.019815358528659822,68116,0.0,116.51335956309825
60,ridge,ml,68116,204.27673866917885,500.2650734928877,-17.918044338913514,-649.1206437618296,473.5462386346401,14734,0.6840559133385407,2.4677172133538385,0.6539975566716438,0.006379801818922221,-0.6653947841528107,68116,-31.857074575878894,202.1598448478459
60,target_masked_residual_cnn,new_architecture,68116,49.273359195893505,202.40634827490845,-7.134733186623022,-98.34416337912671,92.83924911013219,14619,0.4877259517095792,2.1396627515677187,0.31363294342978315,0.012996785005814351,0.0640325001477949,68116,-42.64038572816939,229.31367344532705
60,gradient_boosted_trees,ml,68116,55.36300527186996,206.4030878344039,-1.8609985630327401,-163.39607566641644,128.40490316589103,14658,0.24929034585183785,1.9288435902881735,0.22247237003683995,0.01917041888388593,-0.02673575553098195,68116,-47.91412035175967,213.99978777196014
60,one_dimensional_cnn,ml,68116,87.82727122008907,291.5902614487139,43.575855158975685,-75.68409666480943,274.57856938164855,14545,0.47909650893137823,1.9797036044352536,0.3042282571330354,0.02048814025438295,-0.07177563994952871,68116,-93.3509740737681,225.43246399076477
60,traditional_line3,traditional,68116,205.14699853750884,577.2551978881908,-44.526703746270364,-969.1666666666665,518.1428571428578,14637,0.19634800827429244,2.58486095760943,0.1988112318097971,0.026439844230375077,0.01449315256571689,68116,-5.248415168522038,227.87420199156062
60,mlp,ml,68116,103.0259666739751,331.8912074745169,-1.0418933116059441,-243.06514855433238,266.53124727647514,14614,0.4381703096611462,2.5303061035676673,0.2939646913918161,0.03318735459148762,-0.2431701080107159,68116,-48.73322560318648,209.98445222722515
