method,base_method,shuffle_mode,seed,scope,metric,value,macro_f1,train_rows,heldout_rows,stratum
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7008,overall,balanced_accuracy,0.3338181053915715,0.31362881083710914,82118.0,11998,
,traditional residual PCA+hand,within_topology,7008,heldout_run,balanced_accuracy,0.34510961160501424,,,2635,42
,traditional residual PCA+hand,within_topology,7008,heldout_run,balanced_accuracy,0.3268170508353435,,,2559,57
,traditional residual PCA+hand,within_topology,7008,heldout_run,balanced_accuracy,0.3284448590160869,,,4034,64
,traditional residual PCA+hand,within_topology,7008,heldout_run,balanced_accuracy,0.2961695057820603,,,2770,65
,traditional residual PCA+hand,within_topology,7008,topology,balanced_accuracy,0.2783314744913245,,,6121,single
,traditional residual PCA+hand,within_topology,7008,topology,balanced_accuracy,0.2596468413279004,,,2764,pair
,traditional residual PCA+hand,within_topology,7008,topology,balanced_accuracy,0.31605901651142787,,,1920,triple
,traditional residual PCA+hand,within_topology,7008,topology,balanced_accuracy,0.2490666779425907,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7009,overall,balanced_accuracy,0.3215978359711142,0.3048563477746148,82118.0,11998,
,traditional residual PCA+hand,within_topology,7009,heldout_run,balanced_accuracy,0.34304317097435477,,,2635,42
,traditional residual PCA+hand,within_topology,7009,heldout_run,balanced_accuracy,0.32004945054945055,,,2559,57
,traditional residual PCA+hand,within_topology,7009,heldout_run,balanced_accuracy,0.30617367918764377,,,4034,64
,traditional residual PCA+hand,within_topology,7009,heldout_run,balanced_accuracy,0.2933328942028118,,,2770,65
,traditional residual PCA+hand,within_topology,7009,topology,balanced_accuracy,0.2829041227487558,,,6121,single
,traditional residual PCA+hand,within_topology,7009,topology,balanced_accuracy,0.24618468394347243,,,2764,pair
,traditional residual PCA+hand,within_topology,7009,topology,balanced_accuracy,0.3227103269815828,,,1920,triple
,traditional residual PCA+hand,within_topology,7009,topology,balanced_accuracy,0.25935476184397527,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7010,overall,balanced_accuracy,0.331027098650312,0.31125555621288176,82118.0,11998,
